Target	Alias	Gene	Barcode	Filtered	Counts	Corr_Within	Corr_Between
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aplf-P1P2	APLF___68694742.23-P1P2	0	1252586.0	0.9995242324846976	0.9950650422436623
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec1-P1P2	APOBEC1___7818434.23-P1P2	0	1111290.0	0.9995199486809458	0.9968850988719868
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec1-P1P2	APOBEC1___7818488.23-P1P2	0	474388.0	0.9993847152794721	0.9947778251153643
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec1-P1P2	APOBEC1___7818491.23-P1P2	0	559844.0	0.9993374793949416	0.9966302198218651
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec2-P1P2	APOBEC2_-_41021104.23-P1P2	0	1049532.0	0.9991607832236359	0.9984186569963076
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec2-P1P2	APOBEC2___41021056.23-P1P2	0	1089598.0	0.9985993802359288	0.9969066695863793
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec2-P1P2	APOBEC2___41021194.23-P1P2	0	579598.0	0.9990441609225063	0.99788580850992
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3a-P1P2	APOBEC3A_-_39353663.23-P1P2	0	1357272.0	0.9953826175541083	0.9979171925757123
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3a-P1P2	APOBEC3A_-_39353687.23-P1P2	0	1551904.0	0.9942960729077583	0.9967625981188428
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3a-P1P2	APOBEC3A___39353637.23-P1P2	0	103550.0	0.990423082739153	0.9941261956171346
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3b-P1P2	APOBEC3B_-_39378432.23-P1P2	0	1363480.0	0.998465295474799	0.9932757637834685
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3b-P1P2	APOBEC3B___39378603.23-P1P2	0	1594638.0	0.9989055282637618	0.9890506450863237
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3b-P1P2	APOBEC3B___39378613.23-P1P2	0	1227296.0	0.999152416744811	0.9906992512902593
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3c-P1P2	APOBEC3C_-_39410336.23-P1P2	0	2152718.0	0.9995737190710348	0.9961200940823891
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3c-P1P2	APOBEC3C_-_39410342.23-P1P2	0	3264512.0	0.9996077149915845	0.9958463665286551
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3c-P1P2	APOBEC3C___39410687.23-P1P2	0	2170776.0	0.9995398594262187	0.9953602364535739
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3f-P1P2	APOBEC3F_-_39436896.23-P1P2	0	1379428.0	0.9982088115276013	0.9960289264551748
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3f-P1P2	APOBEC3F___39437128.23-P1P2	0	960218.0	0.9977963382688935	0.9905128415976479
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3f-P1P2	APOBEC3F___39437229.23-P1P2	0	931894.0	0.9984921575259631	0.9932223682030974
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3g-P1P2	APOBEC3G___39473517.23-P1P2	0	1375944.0	0.9989374760148473	0.9947276896200027
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3g-P1P2	APOBEC3G___39473587.23-P1P2	0	1549416.0	0.9989029661434914	0.996246390896038
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3g-P1P2	APOBEC3G___39473688.23-P1P2	0	1477570.0	0.9982278267135349	0.9934338678404993
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3h-P1P2	APOBEC3H_-_39493307.23-P1P2	0	1208518.0	0.9974550818166744	0.9970196065702864
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3h-P1P2	APOBEC3H___39493291.23-P1P2	0	1106252.0	0.998544218844807	0.9979371705581777
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec3h-P1P2	APOBEC3H___39493488.23-P1P2	0	982430.0	0.9967111105880542	0.995302552931325
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec4-P1P2	APOBEC4_-_183622430.23-P1P2	0	1240572.0	0.9977250403705088	0.995023905482954
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Apobec4-P1P2	APOBEC4___183622401.23-P1P2	0	1077864.0	0.9986421331196279	0.9973608242365507
