Gene	_INSERTION	DELETION_	DELINS	HDR	INSERTION_1bp	LARGE_DELETION	PQ_DELETION	TINS
Clec1a	NA	NA	NA	NA	NA	-0.314583096638314	NA	NA
Clnk	NA	NA	-0.260990530233464	NA	NA	NA	NA	NA
Clvs2	NA	NA	NA	NA	NA	NA	NA	0.67731244537919
Cmc1	-0.91997311660437	NA	NA	NA	NA	NA	NA	NA
Cmtm3	NA	NA	0.247626599741877	NA	NA	NA	NA	NA
Cnep1r1	NA	NA	NA	NA	NA	-0.262029729929026	0.232384894404473	NA
Cnih1	NA	NA	0.268871311823508	NA	NA	NA	NA	NA
Cnot3	NA	NA	NA	-0.509105772765015	NA	NA	NA	NA
Cnot4	NA	NA	NA	NA	NA	-0.277185064401858	NA	NA
Cnot8	NA	NA	NA	-0.532433694980418	NA	NA	NA	NA
Cntrob	NA	NA	NA	NA	NA	NA	NA	-0.536887841502142
Cop1	NA	NA	NA	-0.32995232224064	NA	NA	NA	NA
Copb2	NA	NA	NA	-0.501943199530712	NA	NA	NA	NA
Cops4	NA	NA	NA	NA	0.38288960585982	NA	NA	NA
Cops5	NA	NA	NA	NA	0.570081250818207	NA	-0.341435589347331	NA
Cops6	NA	NA	NA	NA	0.399190934697323	NA	NA	NA
Cops8	NA	NA	NA	NA	0.468251352063422	NA	NA	NA
Cox7a2	NA	NA	NA	NA	NA	NA	NA	0.538456390471053
Cpsf2	NA	NA	NA	-0.391226104464747	0.338462637269492	NA	NA	NA
Cpsf4	NA	NA	NA	NA	NA	NA	NA	0.485613525623302
Cr2	NA	NA	NA	NA	NA	NA	NA	0.577338539660021
Cramp1	NA	NA	NA	NA	-0.327431383139975	NA	NA	NA
Crebrf	NA	NA	-0.322858051569776	NA	NA	NA	NA	NA
Cript	-0.994245090799358	NA	NA	NA	NA	NA	NA	NA
Csn1s2b	NA	NA	0.312780897912098	NA	NA	NA	NA	NA
Csn3	NA	NA	-0.278217757270879	NA	NA	NA	NA	NA
Csnk1a1	NA	NA	NA	NA	0.42338061240379	NA	NA	NA
Cstf1	NA	NA	NA	-0.408892765312187	NA	NA	NA	NA
Ctc1	NA	NA	NA	NA	NA	-0.308563428158278	NA	NA
Cyp2a22	NA	NA	NA	NA	NA	NA	NA	-0.529700463577688
Cyp2b9	NA	NA	-0.372172619585141	NA	NA	NA	NA	NA
Cyp2c55	NA	NA	NA	NA	-0.358888519788524	NA	NA	NA
Cyp2g1	NA	NA	NA	NA	NA	NA	NA	-0.490968489932199
Cyp2j11	NA	NA	NA	NA	NA	-0.44094467799869	NA	NA
Cyp7b1	NA	NA	0.2814935287313	NA	NA	NA	NA	NA
Cysltr2	NA	-0.218010093383484	NA	NA	NA	NA	NA	NA
Dbr1	NA	NA	-0.373752251993443	NA	0.7580424960037	NA	-0.912317031117112	-1.48418496140336
Dclre1c	NA	NA	NA	NA	NA	-0.320160488646735	NA	NA
Dctn6	NA	NA	NA	NA	0.355445516241689	NA	NA	NA
Ddb1	NA	NA	NA	NA	0.568346662166533	NA	NA	NA
Ddx19a	NA	NA	NA	-0.633506512196091	0.287747607189184	NA	NA	NA
Ddx43	-0.769148483664278	NA	NA	NA	NA	NA	NA	NA
Ddx47	NA	NA	NA	-0.955019550105761	0.564352609121477	NA	NA	NA
Ddx55	NA	0.276755033076722	NA	-0.70885878074752	NA	NA	NA	NA
Def6	-0.570617285947326	NA	NA	NA	NA	NA	NA	NA
Defb14	NA	NA	NA	NA	NA	NA	0.173691708097215	NA
Defb7	NA	NA	NA	NA	-0.377409847508496	NA	NA	NA
Dek	NA	-0.179605920781506	NA	NA	NA	NA	NA	NA
Desi2	-0.583461921412513	NA	NA	NA	NA	NA	NA	NA
Dhps	NA	NA	NA	NA	0.444143735698803	-0.294780321253779	-0.261349861978655	NA
Dhx37	NA	NA	NA	-0.716512942097945	0.474573547673853	NA	NA	NA
Dmpk	-0.509818175244776	NA	NA	NA	NA	NA	NA	NA
Dnaaf6b	NA	-0.193297875962259	NA	NA	NA	NA	NA	NA
Dnm2	NA	NA	NA	0.321400121412112	NA	NA	NA	NA
Dohh	NA	NA	NA	NA	0.432315540062087	NA	NA	NA
Dtl	NA	NA	NA	NA	0.411729238650396	NA	NA	NA
Dut	NA	NA	NA	-0.88256999708872	NA	0.329180791928739	NA	NA
E130311K13Rik	NA	NA	NA	NA	-0.309312575215368	NA	NA	NA
Ebna1bp2	0.552705678612662	NA	NA	NA	NA	NA	NA	NA
Ecd	NA	NA	NA	-0.812857465952886	NA	NA	NA	NA
Ect2	NA	NA	NA	-0.537029712711081	NA	NA	NA	NA
Eed	NA	NA	NA	-0.38001835495504	NA	NA	NA	NA
Eef2	NA	NA	NA	NA	0.280454810944852	NA	NA	NA
Efnb3	NA	NA	-0.250775398391672	NA	NA	NA	NA	NA
Ehd3	NA	NA	NA	NA	-0.287932176218801	0.250457613314706	NA	NA
Eif2b2	NA	NA	NA	NA	0.431834412128161	NA	NA	NA
Eif3a	NA	NA	NA	-0.363766533426948	NA	NA	NA	NA
Eif3f	NA	NA	NA	NA	0.480808835119636	NA	NA	NA
Eif3g	NA	NA	NA	-0.571253614306617	0.322780460588309	NA	NA	NA
Eif3i	NA	NA	NA	-0.854125673915253	NA	NA	NA	NA
Eif3m	NA	NA	NA	-0.482494176462158	NA	NA	NA	NA
Eif5a	NA	NA	NA	NA	0.349042595208496	NA	NA	NA
Elmo2	NA	NA	NA	NA	NA	-0.29252016162885	NA	NA
Elmod1	NA	NA	0.290794459911861	NA	NA	NA	NA	NA
Epn2	NA	NA	NA	NA	NA	0.263139276882751	NA	NA
Ercc2	NA	NA	NA	-0.493047284316993	NA	NA	NA	NA
Erich3	NA	NA	NA	NA	NA	NA	NA	-0.566663159570016
Erich5	-0.569254526748325	NA	NA	NA	NA	NA	NA	NA
Esrrg	NA	NA	NA	NA	NA	-0.25786812564029	NA	NA
Etfrf1	NA	NA	-0.274271507260264	NA	NA	NA	NA	NA
Exosc4	NA	NA	NA	-0.717594944217843	0.551492906076685	NA	NA	NA
Exosc8	NA	NA	NA	NA	0.511686584125064	NA	NA	NA
Faap100	NA	NA	NA	-0.875462339239837	0.452358828515212	NA	NA	NA
Faf2	NA	NA	NA	NA	0.35148606313993	NA	NA	NA
Fam133b	-0.935403111174368	NA	NA	NA	NA	NA	NA	NA
Fam166c	NA	NA	-0.270950230735488	NA	NA	NA	NA	NA
Fam183b	NA	NA	NA	NA	NA	NA	NA	-0.669072792327398
Fam220a	NA	NA	NA	NA	NA	-0.338215061199499	NA	NA
Fam50a	NA	NA	NA	NA	0.278662664676722	NA	NA	NA
Fanca	NA	NA	NA	-0.916053822513195	0.275345488503925	NA	NA	NA
Fancb	NA	NA	NA	-0.944773998812968	NA	NA	NA	NA
Fancc	NA	0.284044303228377	NA	-0.964214448121809	NA	NA	NA	NA
Fancd2	NA	NA	NA	-0.867676204386398	0.358383350496501	NA	NA	NA
Fancg	NA	NA	NA	-0.84005819676126	0.315347162056818	NA	NA	NA
Fanci	NA	0.226254878140669	NA	-1.01690314276944	0.400492928431514	NA	NA	NA
Fancm	NA	NA	NA	-0.91832592733941	0.355090264105404	NA	NA	NA
Farsa	NA	NA	NA	-0.633687785657923	NA	NA	NA	NA
Fbxw16	NA	NA	NA	NA	NA	-0.263619092041742	NA	NA
Fbxw21	NA	NA	NA	0.318464233071392	NA	NA	NA	NA
Fez1	NA	NA	-0.311873890173393	NA	NA	NA	NA	NA
Foxd3	NA	NA	NA	-0.420575321132214	0.288882001519027	NA	NA	NA
Foxh1	NA	NA	NA	NA	NA	-0.279613059113334	NA	NA
Foxn2	NA	NA	-0.366207313422401	NA	NA	NA	NA	NA
Fra10ac1	NA	-0.205744479885688	NA	NA	NA	NA	NA	NA
Fsbp	NA	NA	NA	NA	NA	NA	NA	-0.499645915491358
Fshr	-0.51999092923231	NA	NA	NA	NA	NA	NA	NA
Fus	NA	NA	NA	NA	NA	NA	NA	-0.545520884300697
G2e3	NA	NA	NA	NA	NA	NA	NA	0.506543263503236
Gab3	NA	NA	NA	NA	-0.281915416353957	NA	NA	NA
Gabpb1	NA	NA	NA	NA	NA	NA	-0.273310141776266	NA
Gak	-0.475912092648443	NA	NA	NA	NA	NA	NA	NA
Gar1	NA	NA	NA	NA	NA	NA	-0.252791539087673	NA
Gje1	-0.503038177720423	NA	0.236168157819338	NA	NA	NA	NA	NA
Glmn	NA	NA	NA	NA	NA	NA	NA	0.500609397631406
Glrx	NA	NA	NA	NA	NA	-0.27084706167872	NA	NA
Gm4847	NA	NA	NA	NA	NA	NA	NA	0.533002898126154
Gm5150	NA	NA	NA	NA	-0.281088697042186	NA	NA	NA
Gm527	NA	NA	NA	NA	NA	NA	NA	-0.820819849067345
Gm5916	NA	-0.170654177961606	NA	NA	NA	NA	NA	NA
Gm8882	0.525005677546804	NA	NA	NA	NA	NA	NA	NA
Gna13	NA	NA	NA	0.341278279421695	NA	NA	NA	NA
Gnb1	NA	NA	NA	-0.370649544541646	NA	NA	NA	NA
Gngt2	NA	-0.172496623631674	NA	NA	NA	0.262842832332297	NA	NA
Gnl2	NA	NA	NA	NA	0.379019670054899	NA	NA	NA
Golga4	NA	NA	NA	NA	NA	NA	NA	-0.669494346741453
Gpatch11	NA	NA	NA	NA	NA	NA	NA	-0.536705477167727
Gpn2	NA	NA	NA	-0.648756517137073	0.507271217533359	NA	NA	NA
Gps1	NA	NA	NA	-0.615669909394723	0.390069214885131	NA	NA	NA
Gria4	NA	NA	NA	0.348023329521759	NA	-0.251821758339271	NA	NA
Grid1	-0.473305981401046	NA	NA	NA	NA	NA	NA	NA
Gtf2a1	NA	NA	NA	-0.635824340792044	0.409825778423336	NA	NA	NA
Gtf2f1	NA	NA	NA	NA	NA	NA	NA	-0.805143037146328
Gtf3c3	0.489294470764848	NA	NA	NA	NA	NA	NA	NA
H2ax	NA	0.327744892246523	NA	-1.09171760024269	0.957697008937089	-0.421126229943164	-0.511021068736434	-1.06917160566432
Hbb-y	NA	NA	0.233129532362959	NA	NA	NA	NA	NA
Hdac11	NA	NA	NA	NA	NA	NA	NA	-0.489659220301777
Hdlbp	NA	NA	NA	NA	NA	NA	NA	-0.729398504531203
Helq	NA	NA	NA	-0.820343891824643	NA	NA	NA	NA
Hgfac	NA	NA	-0.260134517125415	NA	NA	NA	NA	NA
Hltf	NA	NA	-0.347630846811344	0.416608936300105	NA	NA	-0.2968666251082	NA
Hmgcs1	NA	NA	NA	NA	NA	NA	NA	-0.612152372772378
Hmgn5	NA	NA	NA	NA	NA	NA	NA	-0.616047673081715
Hormad1	NA	-0.177571559284107	NA	NA	NA	NA	NA	NA
Hrob	NA	NA	NA	-0.419032397258714	NA	NA	NA	NA
Hsd3b2	NA	NA	-0.329469872060778	NA	NA	NA	NA	NA
Hus1	NA	NA	NA	NA	NA	0.32121041592258	NA	NA
Hykk	NA	NA	-0.335870406815428	NA	NA	NA	NA	NA
Ifit1bl1	NA	NA	NA	NA	NA	NA	0.165598849907058	NA
Ifit1bl2	NA	NA	NA	NA	NA	NA	NA	-0.589134343371064
Ifitm6	NA	NA	NA	NA	NA	-0.332296583066681	NA	NA
Il15	NA	NA	NA	NA	NA	-0.358530314613468	NA	NA
Il6st	NA	NA	NA	-0.495763586438474	NA	NA	NA	NA
Imp3	NA	NA	NA	-0.959929611874154	0.579268975000162	NA	NA	NA
Ints3	NA	NA	NA	-0.75559545514664	0.435742876535038	NA	NA	NA
Ints7	NA	NA	NA	NA	0.581615957594284	NA	NA	NA
Jak1	NA	NA	NA	-0.533761159173426	0.478255407304182	NA	NA	NA
Kctd14	NA	NA	NA	NA	NA	0.251027401031327	NA	NA
Kctd18	NA	NA	NA	NA	-0.303648585109818	NA	NA	NA
Khdrbs1	NA	NA	NA	NA	NA	0.255831166417359	NA	-0.590564889333639
Kif18b	NA	0.21971172128422	NA	NA	NA	NA	NA	NA
Klra9	0.702423023766068	NA	-0.32883043717722	NA	NA	NA	NA	NA
Kmt2c	NA	NA	NA	NA	NA	NA	NA	-0.527544837791663
Knl1	NA	NA	NA	NA	NA	NA	NA	0.526712965866827
Kpna2	NA	NA	NA	-0.787966162712449	NA	NA	NA	NA
Krcc1	NA	NA	NA	NA	NA	-0.284459874141308	NA	NA
Krt10	NA	NA	NA	NA	0.277601398954808	NA	NA	NA
L3mbtl2	NA	NA	NA	NA	0.335223897780438	NA	NA	NA
Lars2	NA	NA	NA	NA	0.337490014280831	NA	NA	NA
Ldlr	NA	NA	NA	NA	NA	NA	0.192881122764937	NA
Lifr	NA	NA	NA	-0.739959761208586	NA	NA	NA	NA
Lig4	NA	NA	NA	0.459517763019195	NA	NA	NA	NA
Lin52	NA	NA	NA	NA	NA	NA	NA	0.53888105606441
Lrrd1	-0.794761954890643	NA	NA	NA	NA	NA	NA	NA
Lxn	-0.872678954170881	NA	NA	NA	NA	NA	NA	NA
Ly6k	NA	NA	NA	NA	-0.278267371204756	NA	NA	NA
Lysmd3	NA	NA	NA	NA	NA	NA	NA	0.475837477215629
Maea	NA	NA	NA	NA	NA	NA	0.189185081053116	NA
Marchf6	-0.760654444220314	NA	NA	NA	NA	NA	NA	NA
Marf1	-0.751841723143803	NA	NA	NA	NA	NA	NA	NA
Mars1	NA	NA	NA	-0.488375745155257	0.527983777082658	NA	NA	NA
Mbd2	0.49116186098734	NA	NA	NA	NA	-0.26844075190772	NA	NA
Mcl1	NA	NA	NA	-0.402908712609732	NA	NA	NA	NA
Mcm2	NA	NA	NA	-0.750233833532014	0.398576119211195	NA	NA	NA
Mcm6	NA	0.244511650171808	NA	NA	NA	NA	NA	NA
Mcm7	NA	NA	NA	NA	0.49557777928761	NA	NA	NA
Mcm8	NA	NA	NA	-0.535033658610205	0.295736961754869	NA	NA	NA
Me3	-0.484647614588502	NA	NA	NA	NA	NA	NA	NA
Meaf6	NA	NA	NA	NA	NA	0.258780971104474	NA	NA
Med1	NA	NA	NA	-0.342257750488121	NA	NA	NA	NA
Med12	NA	NA	NA	-0.371925792996985	NA	NA	NA	NA
Med18	NA	NA	NA	-0.42767945032885	NA	NA	NA	NA
Med20	NA	NA	NA	NA	0.472488640986923	NA	NA	NA
Med22	NA	NA	NA	NA	NA	NA	NA	-0.66541797558423
Med24	NA	NA	NA	-0.530245789313678	NA	NA	NA	NA
Med4	NA	NA	NA	NA	0.332047067760045	NA	NA	NA
Mettl14	NA	NA	NA	0.509208822355275	NA	NA	NA	NA
Mettl3	NA	NA	NA	0.441144819947902	NA	NA	NA	NA
Mfsd14b	NA	NA	NA	NA	-0.33920479629302	NA	NA	NA
Milr1	-0.689482329089593	NA	NA	NA	NA	NA	NA	NA
Mme	-0.476769625536516	NA	NA	NA	NA	NA	NA	NA
Mmp20	-0.647680829636853	NA	NA	NA	NA	NA	NA	NA
Mre11a	0.799300449787818	NA	NA	-0.636202149428266	0.982935007689989	-0.402517922861442	-0.517417287998202	NA
Mrgprb1	NA	NA	NA	NA	-0.304159110935842	NA	NA	NA
Mrpl1	NA	NA	-0.251108504123471	NA	NA	NA	NA	NA
Mrps21	NA	NA	NA	NA	0.394985283971733	NA	NA	NA
Msh2	NA	NA	NA	-0.334477921523895	NA	NA	NA	NA
Msh6	NA	NA	NA	-0.547140948987702	NA	NA	NA	NA
Msrb2	NA	NA	NA	NA	NA	NA	NA	-0.570609453182278
Msx1	-0.472170442129429	NA	NA	NA	NA	NA	NA	NA
Mtarc2	NA	NA	NA	NA	NA	NA	NA	-0.604944268996218
Mterf2	NA	NA	NA	NA	NA	NA	0.181147414696926	NA
Myh15	NA	NA	NA	NA	NA	-0.389733267992132	NA	NA
Naa38	NA	NA	NA	-0.375481575494722	NA	NA	NA	NA
Naca	NA	0.264369179541968	NA	NA	NA	NA	NA	NA
Nagk	NA	NA	NA	NA	NA	-0.271185789243375	NA	NA
Nanog	NA	0.314904015903235	NA	-0.893305399126446	0.534818201197761	NA	-0.276981164278847	NA
Nanos2	NA	NA	0.236052840987943	NA	NA	NA	NA	NA
Nanp	0.569417947981886	NA	NA	NA	NA	NA	NA	NA
Nbn	NA	NA	NA	NA	0.958452920034725	NA	-0.389500135402705	NA
Ncapg2	NA	NA	NA	-0.560985703030146	0.427301778452369	NA	NA	NA
Ndufb11b	NA	NA	-0.271097429772082	NA	NA	NA	NA	NA
Ndufb4	NA	NA	-0.585484935452296	NA	NA	NA	NA	NA
Ndufc2	0.584840341821333	NA	NA	NA	NA	NA	NA	NA
Necab1	NA	NA	-0.252890360819405	NA	NA	NA	NA	NA
Nelfcd	NA	NA	NA	NA	0.399744534037718	NA	NA	NA
Nf2	NA	NA	NA	NA	NA	-0.277489668060345	NA	NA
Nle1	NA	NA	NA	NA	0.300745978199031	NA	NA	NA
Nol10	NA	NA	NA	-0.625488629198911	NA	NA	NA	NA
Nom1	NA	NA	NA	-0.425420362138484	NA	NA	NA	NA
Nop16	NA	NA	NA	NA	NA	-0.286162077523066	NA	NA
Nqo1	NA	NA	NA	NA	NA	NA	NA	-0.827537034867973
Nrf1	NA	NA	NA	-0.685556127247381	0.462908691391802	NA	NA	NA
Nsf	NA	NA	NA	-0.768042366438781	0.524958489827052	NA	NA	NA
Nsun6	-0.564520273635598	NA	NA	NA	NA	NA	NA	NA
Nubp2	NA	NA	NA	-0.651844465774918	NA	NA	NA	NA
Nudt21	NA	NA	NA	NA	NA	NA	-0.260037909490362	NA
Nuf2	NA	NA	NA	-0.914703852184195	NA	NA	NA	NA
Nufip2	0.491798912316002	NA	NA	NA	NA	NA	NA	NA
Numa1	NA	NA	NA	NA	NA	NA	NA	-0.715852621056844
Nup85	NA	NA	NA	-0.749420195856876	NA	NA	NA	NA
Oaz2	NA	NA	NA	NA	NA	NA	NA	-0.725998893510678
Obsl1	-0.478454057309416	NA	NA	NA	NA	NA	NA	NA
Ogn	-0.488435572742344	NA	NA	NA	NA	NA	NA	NA
Omd	NA	NA	NA	NA	-0.278933678664077	NA	NA	NA
Oosp3	NA	NA	NA	NA	-0.592440759936529	NA	NA	NA
Oxnad1	NA	NA	-0.319548086698509	NA	NA	NA	NA	NA
Paf1	NA	NA	NA	-0.51594424941626	0.490721674209246	NA	NA	NA
Paip2b	NA	NA	NA	NA	NA	NA	NA	0.526249281728346
Pak1ip1	NA	NA	NA	NA	0.405873394935099	NA	NA	NA
Pals2	0.50088884555287	NA	NA	NA	NA	NA	NA	NA
Pam16	NA	NA	NA	NA	0.561626176086787	NA	NA	NA
Parp4	NA	NA	NA	NA	NA	-0.259042267743735	NA	NA
Pate6	NA	NA	NA	NA	NA	NA	0.206419977617155	NA
Pcdhb22	NA	NA	-0.297053836276686	NA	NA	NA	NA	NA
Pcgf3	NA	NA	NA	NA	-0.291846176660277	NA	NA	NA
Pcid2	NA	NA	NA	-0.505260609577284	NA	NA	NA	NA
Pdap1	NA	NA	NA	NA	NA	-0.366084734819625	NA	NA
Pdcd2l	NA	NA	NA	NA	0.292882800761779	NA	NA	NA
Pdcl2	NA	NA	-0.261920745463764	NA	NA	NA	NA	NA
Pelo	NA	NA	NA	-0.342780749718451	NA	NA	NA	NA
Pex12	-0.478331758004041	NA	NA	NA	NA	NA	NA	NA
Pfdn2	NA	NA	NA	NA	0.311732808843238	NA	NA	NA
Pfdn5	NA	NA	NA	NA	NA	NA	0.18760317302642	NA
Phb	NA	NA	NA	NA	0.383031641755178	NA	NA	NA
Phb2	NA	NA	NA	NA	0.491301689848641	NA	NA	NA
Pigw	NA	NA	NA	NA	NA	NA	NA	-0.636025218393602
Pknox1	NA	NA	NA	0.320965522238673	NA	NA	NA	NA
Pmp2	NA	NA	NA	NA	0.277380254704418	NA	NA	NA
Pnkp	NA	NA	0.251039395487125	NA	NA	NA	NA	-0.649610012181128
Pnma3	NA	NA	NA	NA	-0.322452563530579	NA	NA	NA
Pnn	NA	NA	NA	NA	NA	-0.290208604577926	NA	NA
Pof1b	NA	NA	NA	NA	-0.276813026558758	NA	NA	NA
Pold1	NA	NA	NA	-0.675180034081085	0.480411715224667	NA	NA	NA
Pole3	NA	NA	NA	NA	NA	NA	0.191259251095948	NA
