Gene	_INSERTION	DELETION_	DELINS	HDR	INSERTION_1bp	LARGE_DELETION	PQ_DELETION	TINS
1700025G04Rik	NA	NA	0.329847418020828	NA	NA	NA	NA	NA
1700123O20Rik	NA	NA	NA	NA	0.348383526947206	-0.285098129307533	NA	-0.503525743661307
1810037I17Rik	NA	NA	NA	NA	NA	NA	NA	0.516888913990754
2610507B11Rik	NA	NA	NA	NA	NA	-0.361236154480602	NA	NA
4921524J17Rik	NA	NA	-0.276116340068976	NA	NA	NA	NA	NA
4930407I10Rik	NA	NA	NA	NA	-0.350888179193364	NA	NA	NA
4930503E14Rik	NA	NA	NA	NA	NA	0.40811351560964	NA	NA
4931406C07Rik	NA	-0.174084191807707	NA	NA	NA	NA	NA	NA
9530002B09Rik	NA	NA	NA	NA	NA	NA	NA	-0.68918015508556
A630023A22Rik	NA	NA	-0.270457582411301	NA	NA	NA	NA	NA
AA467197	-0.515660701641688	NA	NA	NA	NA	NA	NA	NA
Aaas	NA	NA	NA	NA	NA	NA	NA	-0.649975437624885
AAdacl4fm3	-0.769724633420397	NA	NA	NA	NA	NA	NA	NA
Abraxas1	-0.746339864971112	NA	NA	NA	NA	NA	NA	NA
Acadl	NA	NA	NA	NA	NA	NA	NA	0.464912771858596
Acbd7	NA	NA	NA	NA	NA	0.291567541405152	NA	NA
Acot9	NA	NA	NA	NA	-0.283141703493613	NA	NA	NA
Actl6a	NA	NA	NA	NA	0.401078898970279	NA	NA	NA
Actr1b	NA	NA	NA	-0.393226114468709	NA	NA	NA	NA
Actr6	NA	NA	NA	NA	NA	0.328684918422805	NA	NA
Adam34l	-0.887477094537877	NA	NA	NA	-0.37383506303082	0.282257113730082	NA	NA
Adam6a	NA	NA	NA	NA	-0.344149855713618	NA	NA	NA
Adam6b	NA	NA	NA	NA	NA	NA	NA	-0.547582163383216
Adap1	-0.588234660447809	NA	NA	NA	NA	NA	NA	NA
Ahctf1	NA	NA	NA	-0.473354959748759	NA	NA	NA	NA
Aldoa	NA	NA	NA	NA	0.608747875903867	NA	NA	NA
Alg1	NA	NA	NA	-0.407879102343858	0.279949854188895	NA	NA	NA
Alg2	NA	NA	NA	NA	0.28680913358731	NA	NA	NA
Alkbh3	-0.86867421936188	NA	NA	NA	NA	NA	NA	NA
Anapc11	NA	NA	NA	-0.736640755580349	0.495714561273049	NA	NA	NA
Ang5	NA	NA	NA	NA	NA	-0.263798445971422	NA	NA
Ankrd66	NA	NA	NA	NA	NA	NA	NA	0.508776890498518
Ap1s2	NA	NA	NA	NA	-0.275264926521489	NA	NA	NA
Arhgap24	-0.656312064274164	NA	NA	NA	NA	NA	NA	NA
Arl2	NA	NA	NA	NA	0.630668594910108	NA	NA	NA
Arl4d	NA	NA	NA	NA	NA	NA	NA	-0.615322186460723
Armc7	NA	NA	NA	NA	0.275772878584452	NA	NA	NA
Art4	-0.786123899780783	NA	NA	NA	NA	NA	NA	NA
Asf1a	NA	NA	NA	NA	-0.285008904985161	NA	NA	NA
Atad5	NA	NA	NA	NA	NA	NA	NA	-0.723664892465468
Atm	NA	NA	NA	NA	0.634894782666369	-0.25156512013434	NA	NA
Atp2a2	NA	NA	NA	-0.941403273750389	NA	NA	NA	NA
Atp5a1	0.59259403161198	NA	NA	NA	NA	NA	NA	NA
Atp5mpl	NA	NA	NA	NA	NA	NA	NA	-0.749209635996203
Atp5pb	NA	NA	NA	NA	NA	NA	NA	-1.73667491122049
Atp6v0b	NA	NA	NA	-0.659325508937775	NA	NA	NA	NA
Atp6v1a	NA	NA	NA	-0.693723603859306	NA	NA	0.18692897156984	NA
Atp6v1b2	NA	NA	NA	-0.68605152448246	NA	NA	NA	NA
Atp6v1e1	NA	NA	NA	-0.397124747646463	NA	NA	NA	NA
Avl9	-0.546034792031945	NA	NA	NA	NA	NA	NA	NA
B3gnt7	NA	NA	NA	NA	NA	NA	NA	-0.517469593657684
B9d1	NA	NA	NA	NA	NA	NA	NA	-0.532382607008439
Bambi	-0.788631795838719	NA	NA	NA	NA	NA	NA	NA
Banp	0.577279060043168	NA	NA	NA	NA	NA	NA	NA
Bard1	NA	0.32085428041778	NA	-0.817526672277023	NA	NA	NA	NA
Bbx	NA	NA	NA	NA	NA	-0.301332592987268	NA	NA
Bcas2	NA	NA	NA	NA	0.403552677490678	NA	NA	NA
Bckdk	-0.512538927531797	NA	NA	NA	NA	NA	NA	NA
Bcl2a1d	NA	NA	NA	NA	NA	NA	NA	-1.69367705146927
Bid	NA	NA	NA	NA	NA	NA	NA	-0.578359515074119
Bop1	NA	NA	NA	NA	0.302792482881962	NA	NA	NA
Brca1	NA	0.261490311906697	NA	-0.563176736769322	NA	NA	NA	NA
Brd4	NA	0.238763389963276	NA	NA	NA	NA	NA	NA
Brf2	NA	NA	NA	-0.598965700465813	NA	NA	NA	NA
Brix1	NA	NA	0.26687855872553	NA	NA	NA	NA	NA
Btaf1	NA	NA	NA	-0.451380599625304	NA	NA	NA	NA
Bysl	NA	NA	NA	NA	0.363291957891408	NA	NA	-1.2403887798701
Bzw1	NA	NA	NA	NA	-0.42204594001139	NA	NA	NA
C1galt1c1	NA	-0.189497588432611	NA	NA	NA	NA	NA	NA
Castor2	NA	NA	NA	NA	NA	0.257992146748645	NA	NA
Ccdc137	NA	0.223872524237384	NA	NA	NA	NA	NA	NA
Ccdc175	NA	-0.171045215881882	NA	NA	NA	NA	NA	NA
Ccdc7b	-0.640667314459288	NA	NA	NA	NA	NA	NA	NA
Ccdc84	0.579302213290126	NA	NA	NA	NA	NA	NA	NA
Ccdc91	NA	NA	NA	NA	NA	NA	NA	-0.496541039063902
Ccnjl	NA	-0.181806783914892	NA	NA	NA	NA	NA	NA
Ccnl1	NA	NA	-0.348746425722667	NA	NA	NA	NA	NA
Ccnq	-0.586867029117911	NA	NA	NA	NA	NA	NA	NA
Cd180	NA	NA	NA	NA	NA	NA	NA	-0.588266529959782
Cd36	NA	-0.225810746067058	NA	NA	NA	NA	NA	NA
Cd46	NA	NA	NA	NA	NA	NA	NA	-0.738318503299863
Cd74	NA	NA	NA	NA	NA	NA	NA	0.464516968531367
Cd8a	-0.64953750549936	NA	NA	NA	NA	NA	NA	NA
Cdadc1	NA	NA	NA	NA	NA	NA	0.19074526702814	NA
Cdc16	NA	NA	NA	-0.565978156333143	NA	NA	NA	NA
Cdc20	NA	NA	NA	NA	NA	-0.295462937027628	NA	NA
Cdipt	NA	NA	NA	NA	0.40619815782931	NA	NA	NA
Cdk9	NA	NA	NA	NA	0.542971211596754	NA	NA	NA
Cdon	-0.471637983358767	NA	NA	NA	NA	NA	NA	NA
Celf2	NA	NA	0.260150774094345	NA	NA	NA	NA	NA
Cenpk	NA	NA	NA	NA	0.440819992513901	NA	NA	NA
Cenpm	NA	NA	NA	NA	0.463072682614431	NA	NA	NA
Cenpq	NA	-0.336029243322626	NA	NA	NA	NA	NA	NA
Cep55	NA	NA	NA	NA	NA	NA	NA	0.593878490910519
Cfap36	-1.02224621172231	-0.185119302161811	NA	NA	NA	NA	NA	NA
Cfap44	NA	NA	-0.315650370305469	NA	NA	NA	NA	NA
Chaf1b	NA	NA	NA	-0.632165609940193	NA	NA	NA	NA
Chek2	NA	NA	NA	0.352398623745258	NA	NA	NA	NA
Chmp4b	NA	NA	NA	-0.553542116088875	NA	NA	NA	NA
Chrna1	NA	NA	NA	NA	-0.33452893746385	NA	NA	NA
Ciao2b	NA	NA	NA	NA	0.378425563479154	NA	NA	NA
Ciao3	NA	NA	NA	-0.46371771435208	NA	NA	NA	NA
Cip2a	NA	NA	NA	NA	NA	NA	-0.386644309610006	NA
Clec14a	-0.506727455938974	NA	NA	NA	NA	NA	NA	NA
