Sample	T1	T1	T1	T1	T2	T2	T2	T2	T3	T3	T3	T3	Overall	Overall	Overall
Measure	Score	P-value	Adjusted p-value	Outlier/inlier	Score	P-value	Adjusted p-value	Outlier/inlier	Score	P-value	Adjusted p-value	Outlier/inlier	Combined score	Rank	Psuedo-control
Gene															
Atp6v1g1				outlier	191.69190928544398	0.0	0.0	outlier	1197.6532240099154	0.0	0.0	outlier	63.08645899470038	1.0	False
H2ac18				outlier	79.20916856736312	1.2212453270876722e-15	2.172229063267251e-11	outlier	599.4858344487592	0.0	0.0	outlier	30.380035481820173	2.0	False
Metap2				outlier	143.0072996911986	0.0	0.0	outlier	338.5539875766029	0.0	0.0	outlier	21.57817650759179	3.0	False
Xrcc5				outlier	130.08800685405592	0.0	0.0	outlier	321.0835033363763	0.0	0.0	outlier	20.156418932525067	4.0	False
H2ax	253.22516479921546	0.0	0.0	outlier	259.0348269851858	0.0	0.0	outlier	177.49525804769132	0.0	0.0	outlier	19.921990156659824	5.0	False
Qars				outlier	190.62137507205918	0.0	0.0	outlier	246.32942183768748	0.0	0.0	outlier	19.680951165644622	6.0	False
Mad2l2				outlier	247.76414136850457	0.0	0.0	outlier	179.79951732337122	0.0	0.0	outlier	19.416091219049264	7.0	False
Atp2a2				outlier	113.27976066521813	0.0	0.0	outlier	319.2280188856381	0.0	0.0	outlier	19.257951513969108	8.0	False
Xrcc6	93.0376738562009	0.0	0.0	outlier	211.2281717342271	0.0	0.0	outlier	328.9655777610709	0.0	0.0	outlier	18.591718554928246	9.0	False
Krtap4-8				outlier	139.09149567540646	0.0	0.0	outlier	256.58568471518254	0.0	0.0	outlier	17.653106272287605	10.0	False
Cfap298				outlier	150.5990063511904	0.0	0.0	outlier	239.07620806131652	0.0	0.0	outlier	17.41239620848917	11.0	False
Rpa3				outlier	72.0348375444191	3.863576125695545e-14	6.859006693595134e-10	outlier	298.19078687484875	0.0	0.0	outlier	16.302032115350993	12.0	False
Pcna				outlier	164.22594935568236	0.0	0.0	outlier	193.50151458275522	0.0	0.0	outlier	15.99532956705797	13.0	False
Zfp959	475.9638983483317	0.0	0.0	outlier	94.20215167679424	0.0	0.0	outlier	19.24699730384131	0.0017287580826076399	0.9999999999992255	inlier	15.89567084023865	14.0	False
Dbr1	149.64334930277963	0.0	0.0	outlier	198.34026724709543	0.0	0.0	outlier	197.6168401684128	0.0	0.0	outlier	15.736013403161309	15.0	False
Aars				outlier	155.3758523766632	0.0	0.0	outlier	180.46984074749716	0.0	0.0	outlier	14.972900748271977	16.0	False
