Sample	T1	T1	T1	T1	T2	T2	T2	T2	T3	T3	T3	T3	Overall	Overall	Overall
Ppp4c				outlier	222.8115488283589	0.0	0.0	outlier	98.74635779146837	0.0	0.0	outlier	14.514056807802135	17.0	False
Cinp				outlier	100.2840194182638	0.0	0.0	outlier	221.57745483484436	0.0	0.0	outlier	14.178530452905047	18.0	False
Mre11a	107.88966904363201	0.0	0.0	outlier	194.9310840824097	0.0	0.0	outlier	182.47253116511402	0.0	0.0	outlier	14.021882148074367	19.0	False
Sdad1	198.39773423612525	0.0	0.0	outlier	175.30992453755306	0.0	0.0	outlier	107.97843373265935	0.0	0.0	outlier	13.604991815775831	20.0	False
Krtap4-13				outlier	98.69297279147364	0.0	0.0	outlier	202.43311674055028	0.0	0.0	outlier	13.229042268308767	21.0	False
Rad50				outlier	206.13670392962405	0.0	0.0	outlier	87.70423255002025	0.0	0.0	outlier	13.203396086746018	22.0	False
Eif1ad				outlier	172.76861564703444	0.0	0.0	outlier	122.60083698357249	0.0	0.0	outlier	13.177911705322598	23.0	False
Polr2g				outlier	154.68640672855	0.0	0.0	outlier	124.60166608693564	0.0	0.0	outlier	12.39349459104691	24.0	False
Nedd8	79.64967673440808	9.992007221626409e-16	1.6349921416613642e-11	outlier	122.87920525370629	0.0	0.0	outlier	227.62739145699712	0.0	0.0	outlier	12.294033481405249	25.0	False
Spout1				outlier	168.32373597355632	0.0	0.0	outlier	105.22235571501928	0.0	0.0	outlier	12.170705253729135	26.0	False
Utp6				outlier	113.6883654977996	0.0	0.0	outlier	162.11243173284382	0.0	0.0	outlier	12.117675714427179	27.0	False
Rnf8	180.46264366296114	0.0	0.0	outlier	132.63475385551112	0.0	0.0	outlier	120.07701995773719	0.0	0.0	outlier	12.103528841521461	28.0	False
Psma1				outlier	112.58027526818321	0.0	0.0	outlier	161.26069276031876	0.0	0.0	outlier	12.025203022424108	29.0	False
Psma4				outlier	111.3021163561211	0.0	0.0	outlier	154.25133064385676	0.0	0.0	outlier	11.643880238507904	30.0	False
Nanog				outlier	159.17357156114764	0.0	0.0	outlier	99.15877338023162	0.0	0.0	outlier	11.4512956359799	31.0	False
Ubl5				outlier	69.91641974436325	1.0669243266647754e-13	1.8930438310096043e-09	outlier	189.6887528362991	0.0	0.0	outlier	11.254803561390911	32.0	False
Nuf2				outlier	183.47373945810372	0.0	0.0	outlier	68.56092987741043	2.041700142285663e-13	3.624221916004158e-09	outlier	11.233584982716398	33.0	False
Tonsl				outlier	160.02982079938914	0.0	0.0	outlier	92.82347410435165	0.0	0.0	outlier	11.204046116511075	34.0	False
Exosc2	229.91900654853188	0.0	0.0	outlier	118.11987280756121	0.0	0.0	outlier	60.98111467885273	7.619349595699987e-12	1.347405691733606e-07	outlier	11.194558143348901	35.0	False
Slc22a28	101.71257389961751	0.0	0.0	outlier				outlier	170.47893127792366	0.0	0.0	outlier	11.184297077362675	36.0	False
Prpf19				outlier	111.97765147130134	0.0	0.0	outlier	143.2568203548343	0.0	0.0	outlier	11.175550685001777	37.0	False
Sult2a2				outlier	100.3636430310578	0.0	0.0	outlier	152.0834609978667	0.0	0.0	outlier	11.015410121773273	38.0	False
Top3a				outlier	127.20997588569041	0.0	0.0	outlier	122.75210231273958	0.0	0.0	outlier	10.978709140747554	39.0	False
Orc6				outlier	121.25954055566426	0.0	0.0	outlier	127.41567254274698	0.0	0.0	outlier	10.903097836255855	40.0	False
Sf3b6				outlier	90.62744778930494	0.0	0.0	outlier	159.93795946197363	0.0	0.0	outlier	10.901896916574568	41.0	False
Med8				outlier	108.86157499765085	0.0	0.0	outlier	140.00268949743977	0.0	0.0	outlier	10.87636318062372	42.0	False
Napa				outlier	140.9794988858852	0.0	0.0	outlier	105.59648313459004	0.0	0.0	outlier	10.863658967381067	43.0	False
Aurkb				outlier	96.79354393350886	0.0	0.0	outlier	151.96021030155748	0.0	0.0	outlier	10.836917656045351	44.0	False
Cdr1				outlier	116.00825649404885	0.0	0.0	outlier	131.50533463194475	0.0	0.0	outlier	10.83518758110078	45.0	False
Hspa9				outlier	113.64906532471636	0.0	0.0	outlier	131.16464346681565	0.0	0.0	outlier	10.705421992405592	46.0	False
Rnf168	111.79146552872956	0.0	0.0	outlier	142.67714013496007	0.0	0.0	outlier	122.96118658719469	0.0	0.0	outlier	10.633882991681375	47.0	False
Serf1				outlier	136.5433523964201	0.0	0.0	outlier	104.55609853041179	0.0	0.0	outlier	10.601434129213189	48.0	False
Vmn2r55				outlier	58.71024345483532	2.244493479963694e-11	3.9617546567531714e-07	outlier	185.94398802048622	0.0	0.0	outlier	10.541508236659496	49.0	False
Cops5				outlier	114.95986340276276	0.0	0.0	outlier	125.06354842261332	0.0	0.0	outlier	10.490856331907043	50.0	False
Ddb1				outlier	131.60112933514515	0.0	0.0	outlier	105.77810130081404	0.0	0.0	outlier	10.417804810719696	51.0	False
Rpl8				outlier	117.42201503498053	0.0	0.0	outlier	119.36906029865058	0.0	0.0	outlier	10.350572782689905	52.0	False
Nmd3				outlier	120.47325351425144	0.0	0.0	outlier	113.6456151194184	0.0	0.0	outlier	10.237495086121898	53.0	False
Tardbp				outlier	79.80459503111817	8.881784197001252e-16	1.5799805907920717e-11	outlier	156.40695113063276	0.0	0.0	outlier	10.216904648595921	54.0	False
Anapc1				outlier	58.88635422004183	2.064259874146046e-11	3.6442437178292674e-07	outlier	177.8120871180647	0.0	0.0	outlier	10.179449605009196	55.0	False
Noc4l				outlier	47.77150626968014	3.9545656749240266e-09	6.92539106390923e-05	outlier	189.56889112655625	0.0	0.0	outlier	10.177013222366787	56.0	False
Rps10				outlier	28.266626886441433	3.228057207693702e-05	0.4222704685103762	inlier	210.19092971679834	0.0	0.0	outlier	10.172310423746517	57.0	False
Fanci	157.94129940620994	0.0	0.0	outlier	137.1988148235115	0.0	0.0	outlier	67.2674967439451	3.7914116290949096e-13	6.724826783915269e-09	outlier	10.0294027707002	58.0	False
Banf1				outlier	47.02059888534985	5.626793364577054e-09	9.846403625568068e-05	outlier	186.84060859944714	0.0	0.0	outlier	10.016318747625307	59.0	False
Actr10				outlier	32.725009009262294	4.267439563276909e-06	0.07066000589816261	outlier	200.1858051564836	0.0	0.0	outlier	9.932246726542875	60.0	False
Ube2t	91.67372987725832	0.0	0.0	outlier	178.94763807600702	0.0	0.0	outlier	71.59720943090788	4.7628567756419216e-14	8.463120201057111e-10	outlier	9.693080645827562	61.0	False
Snapc1				outlier	102.89614279934369	0.0	0.0	outlier	118.24086183838762	0.0	0.0	outlier	9.595769091226323	62.0	False
Rps5				outlier	75.25021807085795	8.215650382226158e-15	1.4597567598074053e-10	outlier	147.08643687828697	0.0	0.0	outlier	9.571613157286185	63.0	False
Rsl24d1				outlier	166.01246644102758	0.0	0.0	outlier	50.36929015995795	1.1644372133190473e-09	2.0440321948275992e-05	outlier	9.559025651354267	64.0	False
Ddx49				outlier	107.64978368102577	0.0	0.0	outlier	110.5277647023247	0.0	0.0	outlier	9.474454904902508	65.0	False
Srp72				outlier	74.00988616172393	1.4988010832439613e-14	2.6627700041367247e-10	outlier	146.07996955013533	0.0	0.0	outlier	9.465685626398418	66.0	False
Atp6v0c				outlier	102.55468971620394	0.0	0.0	outlier	114.05730615472399	0.0	0.0	outlier	9.388582094300668	67.0	False
Rrm1				outlier	95.35860417762957	0.0	0.0	outlier	120.98407967162227	0.0	0.0	outlier	9.35579095555159	68.0	False
Wdr82				outlier	41.36413782636722	7.920412870010551e-08	0.0013763326327947607	outlier	177.99796426907517	0.0	0.0	outlier	9.339438254312004	69.0	False
Srp54c				outlier	120.82926797027623	0.0	0.0	outlier	92.50459794847713	0.0	0.0	outlier	9.291297333315887	70.0	False
Defa40	53.83165129613079	2.2696111656728135e-10	3.6819834159712628e-06	outlier				outlier	171.02632803973248	0.0	0.0	outlier	9.24147298901957	71.0	False
Rpl7l1	56.654275698572306	5.958489257551491e-11	9.68075281118055e-07	outlier	175.38207311038946	0.0	0.0	outlier	90.71296632856492	0.0	0.0	outlier	9.199271163655215	72.0	False
Mzt1				outlier	147.5491340883809	0.0	0.0	outlier	61.08576095597541	7.248868172382572e-12	1.282034742791567e-07	outlier	9.153341994203954	73.0	False
Srsf10				outlier	47.04957000908657	5.5507867191550986e-09	9.713960028501333e-05	outlier	167.15171098051127	0.0	0.0	outlier	9.120460405579442	74.0	False
Xrn2				outlier	98.95782540365323	0.0	0.0	outlier	111.70848548053185	0.0	0.0	outlier	9.107370034144285	75.0	False
Skp1				outlier	124.29577760223036	0.0	0.0	outlier	84.4068022082477	1.1102230246251565e-16	1.9816370766514786e-12	outlier	9.09012464695607	76.0	False
Mtrex				outlier	48.495248939246665	2.8140857422087606e-09	4.931845059257381e-05	outlier	164.36381557870186	0.0	0.0	outlier	9.063415038142008	77.0	False
Ftsj3				outlier	101.54687904797144	0.0	0.0	outlier	106.81066865803841	0.0	0.0	outlier	9.009537343906352	78.0	False
Atad3a	170.70591959961334	0.0	0.0	outlier	87.62130192867684	0.0	0.0	outlier	74.77659309038341	1.0325074129013956e-14	1.8374501918305219e-10	outlier	9.006796728503721	79.0	False
Scgb1b24	39.266806530749946	2.0985438509146803e-07	0.0033509940864956483	outlier	106.60991091178393	0.0	0.0	outlier	170.7883079417477	0.0	0.0	outlier	8.935566723050092	80.0	False
Rpl35a				outlier	52.786056410845404	3.7212755099602646e-10	6.541236698643175e-06	outlier	156.91014161603806	0.0	0.0	outlier	8.93151138466968	81.0	False
H3c6				outlier	156.56440403442113	0.0	0.0	outlier	45.37008767914403	1.2200345400614765e-08	0.00021322710242757122	outlier	8.873696706081121	82.0	False
Lce1a2	107.23234848272708	0.0	0.0	outlier	136.16659277254124	0.0	0.0	outlier	71.90134953722094	4.118927421359331e-14	7.320569703302552e-10	outlier	8.747533556937212	83.0	False
Dhx37				outlier	110.81764705363823	0.0	0.0	outlier	91.1652208864707	0.0	0.0	outlier	8.745464406793289	84.0	False
Fau				outlier	87.43715688915593	0.0	0.0	outlier	115.22087653114794	0.0	0.0	outlier	8.7095686388972	85.0	False
Pfdn6				outlier	92.31061079936191	0.0	0.0	outlier	108.72407100392792	0.0	0.0	outlier	8.64948495068041	86.0	False
Psmc4				outlier	55.40215077145488	1.0789025228774562e-10	1.9007007683217543e-06	outlier	147.7541968346941	0.0	0.0	outlier	8.64093695059998	87.0	False
Polr1a				outlier	88.23705497327921	0.0	0.0	outlier	111.95423455825156	0.0	0.0	outlier	8.599435074778663	88.0	False
Gtf2a1	39.36699818764127	2.0032705938533013e-07	0.003199902308795586	outlier	148.43223338756047	0.0	0.0	outlier	114.72040680450901	0.0	0.0	outlier	8.585010854532472	89.0	False
Wdr75	126.82597377740004	0.0	0.0	outlier	124.12407932331055	0.0	0.0	outlier	60.05543140682032	1.1838197089275582e-11	2.092282734688568e-07	outlier	8.535709336911186	90.0	False
Thoc2				outlier	73.23688123796853	2.1649348980190553e-14	3.8447078846529926e-10	outlier	125.22542217910474	0.0	0.0	outlier	8.477872104106016	91.0	False
Dpagt1				outlier	43.407862700866154	3.054423725057376e-08	0.0005323664830094423	outlier	156.1842470496907	0.0	0.0	outlier	8.44430862900603	92.0	False
Gins4				outlier	132.49622741654497	0.0	0.0	outlier	60.757562798340636	8.475109503081057e-12	1.4983144968087216e-07	outlier	8.409475162499835	93.0	False
Tinf2				outlier	91.34872990824519	0.0	0.0	outlier	103.80432247881002	0.0	0.0	outlier	8.378705107390267	94.0	False
Imp3				outlier	67.02277520727075	4.262146191535976e-13	7.550391949803382e-09	outlier	128.32747050130425	0.0	0.0	outlier	8.318331436152679	95.0	False
Ddx27				outlier	100.2597719338541	0.0	0.0	outlier	92.66703616353999	0.0	0.0	outlier	8.302658733504462	96.0	False
Gtf3c6				outlier	78.26728146634183	1.887379141862766e-15	3.3559488520898754e-11	outlier	113.91717320146168	0.0	0.0	outlier	8.206121460395488	97.0	False
Pop5				outlier	75.09843989719947	8.881784197001252e-15	1.578026598156711e-10	outlier	117.27865807325028	0.0	0.0	outlier	8.205865328558676	98.0	False
Dkc1				outlier	87.65935042135243	0.0	0.0	outlier	103.73418457601335	0.0	0.0	outlier	8.196857154093783	99.0	False
Polr2j				outlier	130.28355689332525	0.0	0.0	outlier	58.23062871177526	2.8190449974374587e-11	4.976458895788922e-07	outlier	8.18717324885517	100.0	False
Gm10100				outlier	140.8726389500332	0.0	0.0	outlier	46.37969210018028	7.60091589668832e-09	0.0001329539831217977	outlier	8.159860549029426	101.0	False
Uqcrb				outlier	83.10869324168364	2.220446049250313e-16	3.952616012262671e-12	outlier	107.19974605465285	0.0	0.0	outlier	8.134432034125535	102.0	False
Snapc4				outlier	62.851525098224954	3.124722702807503e-12	5.5245095859712604e-08	outlier	128.58572996982448	0.0	0.0	outlier	8.128115460462215	103.0	False
Ddx55				outlier	91.00045104640257	0.0	0.0	outlier	97.4019809826349	0.0	0.0	outlier	8.070073215301303	104.0	False
Uba2				outlier	125.3144025087944	0.0	0.0	outlier	60.88940627727198	7.959410908142672e-12	1.407462531844922e-07	outlier	8.067716440538623	105.0	False
Rps21	48.23039335061932	3.1873278460992083e-09	5.1499517273675556e-05	outlier	110.56864677242014	0.0	0.0	outlier	128.00203283308355	0.0	0.0	outlier	8.00904622056722	106.0	False
Cdc37				outlier	128.29703425339062	0.0	0.0	outlier	53.88093839423263	2.217295236306427e-10	3.90110162987327e-06	outlier	7.892755610293703	107.0	False
Faap100				outlier	86.30791489732997	0.0	0.0	outlier	98.27681526892628	0.0	0.0	outlier	7.882713400438504	108.0	False
Rangap1	107.10562739827303	0.0	0.0	outlier	116.4862296775912	0.0	0.0	outlier	63.755396500352916	2.0302648451320238e-12	3.594380817227515e-08	outlier	7.861252699501693	109.0	False
Prelid3b				outlier	150.71402611232284	0.0	0.0	outlier	28.674253817030138	2.6861046522497212e-05	0.36567472742478274	inlier	7.8295410692474565	110.0	False
Sem1				outlier	124.70053792909546	0.0	0.0	outlier	55.89821142168471	8.528378003802572e-11	1.5031254935400427e-06	outlier	7.810532719801193	111.0	False
Nbn				outlier	85.71005939664369	0.0	0.0	outlier	95.43487804994692	0.0	0.0	outlier	7.724250726126285	112.0	False
Pin4	83.6947737795641	1.1102230246251565e-16	1.8187673589392775e-12	outlier	57.66226751513795	3.6927239044359794e-11	6.51396284595882e-07	outlier	142.59002633628916	0.0	0.0	outlier	7.7159737458216915	113.0	False
Nhp2				outlier	73.39204017102078	2.0095036745715333e-14	3.5690794757696194e-10	outlier	107.75833063647373	0.0	0.0	outlier	7.689376190319733	114.0	False
Rpl7				outlier	91.59480451762654	0.0	0.0	outlier	88.28722815554032	0.0	0.0	outlier	7.683476775306394	115.0	False
Fancc				outlier	84.14190588964534	1.1102230246251565e-16	1.977418229157911e-12	outlier	96.06835325276722	0.0	0.0	outlier	7.677184376983774	116.0	False
Zbtb11	176.7573446269168	0.0	0.0	outlier	50.73617393095982	9.794740574164962e-10	1.719353980170984e-05	outlier	64.38256089669459	1.5050183321818622e-12	2.6652369289454254e-08	outlier	7.666079095762228	117.0	False
Wdr73				outlier	93.97554460121215	0.0	0.0	outlier	85.26352191346349	1.1102230246251565e-16	1.9816370766514786e-12	outlier	7.660963722520083	118.0	False
Ints3	64.57510004428975	1.3729017922514686e-12	2.2389282177412338e-08	outlier	109.09267195130427	0.0	0.0	outlier	103.08485959235831	0.0	0.0	outlier	7.6521967091632375	119.0	False
Ddx47				outlier	103.61965694713368	0.0	0.0	outlier	73.9097729482212	1.5654144647214707e-14	2.784559249458885e-10	outlier	7.610550351336559	120.0	False
Cept1				outlier	95.24999587979792	0.0	0.0	outlier	80.51840701901693	6.661338147750939e-16	1.1875167515925094e-11	outlier	7.5064326759765265	121.0	False
Fancl	136.38158693404782	0.0	0.0	outlier	60.11096121999868	1.1529444066127326e-11	2.0367913813078102e-07	outlier	85.022954072775	1.1102230246251565e-16	1.9816370766514786e-12	outlier	7.489579798291818	122.0	False
Eif3g				outlier	53.58345320920387	2.55238719049089e-10	4.489128515040711e-06	outlier	124.38383439000654	0.0	0.0	outlier	7.487837056030738	123.0	False
Vmn1r27				outlier	84.91418384664814	1.1102230246251565e-16	1.977418229157911e-12	outlier	91.02661749628902	0.0	0.0	outlier	7.484818893934954	124.0	False
Eif3i				outlier	84.25006526231518	1.1102230246251565e-16	1.977418229157911e-12	outlier	91.41187185723953	0.0	0.0	outlier	7.4702169216366885	125.0	False
Gpn2				outlier	85.8918333660277	0.0	0.0	outlier	89.60246163987198	0.0	0.0	outlier	7.467258289253635	126.0	False
Snrpd2	59.662073909014126	1.4274470494513025e-11	2.3241690158450763e-07	outlier	77.12418074862772	3.3306690738754696e-15	5.920930412453145e-11	outlier	135.20136467945247	0.0	0.0	outlier	7.461318490043499	127.0	False
Wdr36				outlier	65.64320364960854	8.242295734817162e-13	1.4591336032899292e-08	outlier	110.68373149057672	0.0	0.0	outlier	7.447468763333245	128.0	False
Ppp1r7	56.31751957740537	6.99057478570353e-11	1.1355483234938865e-06	outlier	134.81500523503215	0.0	0.0	outlier	74.76466772913831	1.0436096431476471e-14	1.8571033598088064e-10	outlier	7.395922744182243	129.0	False
Bysl	94.68420327991888	0.0	0.0	outlier				outlier	91.54623373786441	0.0	0.0	outlier	7.298335012733781	130.0	False
Rpl14				outlier	76.59375788738522	4.3298697960381105e-15	7.695910575182019e-11	outlier	95.2802406679273	0.0	0.0	outlier	7.275762930872116	131.0	False
Xlr5c				outlier	75.91209130148376	5.995204332975845e-15	1.0654677139997093e-10	outlier	95.5975265121789	0.0	0.0	outlier	7.2572137708264	132.0	False
Ccdc137	78.84764135210749	1.4432899320127035e-15	2.3612223287449076e-11	outlier	111.53170057976199	0.0	0.0	outlier	74.55894114361892	1.1546319456101628e-14	2.0543211574186018e-10	outlier	7.255320160303657	133.0	False
H3c8				outlier	85.5091284650222	1.1102230246251565e-16	1.977418229157911e-12	outlier	84.51162256722098	1.1102230246251565e-16	1.9816370766514786e-12	outlier	7.216727084345234	134.0	False
Psmc6				outlier	32.1422507194315	5.568067631522844e-06	0.09106987473285476	outlier	139.88609903080066	0.0	0.0	outlier	7.156053238525547	135.0	False
Polr1c				outlier	127.20861654912419	0.0	0.0	outlier	36.74098457643081	6.749914986947658e-07	0.011582754574242153	outlier	7.058950011923992	136.0	False
Fnta				outlier	100.87693266728954	0.0	0.0	outlier	64.42701385760233	1.4734879982825078e-12	2.6095472109115603e-08	outlier	7.045591103971454	137.0	False
Tbl3	74.8268619941511	1.0103029524088925e-14	1.6510370846903242e-10	outlier	49.92010438488012	1.4389571756368014e-09	2.524330713271917e-05	outlier	134.09170794659184	0.0	0.0	outlier	6.9648862076961855	138.0	False
Ssu72				outlier	75.42589127256474	7.549516567451064e-15	1.3415490939460716e-10	outlier	89.61415551915081	0.0	0.0	outlier	6.960996589472527	139.0	False
Aurka				outlier	114.4524013910986	0.0	0.0	outlier	47.45240810956424	4.594131408630631e-09	8.043541191726245e-05	outlier	6.929393330534714	140.0	False
Dync1i2	99.65558843405157	0.0	0.0	outlier				outlier	78.80594166552216	1.4432899320127035e-15	2.5723756457931575e-11	outlier	6.922045034836433	141.0	False
Abcf1	19.340532476046377	0.001660629553924986	0.9999999999800137	inlier	122.46423712506109	0.0	0.0	outlier	105.51378619481491	0.0	0.0	outlier	6.918311902759907	142.0	False
AA792892				outlier	73.55522040414519	1.865174681370263e-14	3.3131097859691943e-10	outlier	90.02432282458967	0.0	0.0	outlier	6.889104802095153	143.0	False
Polr3a				outlier	72.00526464655576	3.9190872769268026e-14	6.95716373158049e-10	outlier	91.61677792703973	0.0	0.0	outlier	6.886622218881514	144.0	False
Gabpb1				outlier	55.06319023999398	1.266866611615569e-10	2.2313296737600826e-06	outlier	109.4498130437878	0.0	0.0	outlier	6.878918395743443	145.0	False
Pold2				outlier	104.3622819587905	0.0	0.0	outlier	56.72152309316433	5.7713722689811675e-11	1.0176078407329144e-06	outlier	6.863208792528721	146.0	False
Ddx52				outlier	73.55157061110432	1.865174681370263e-14	3.3131097859691943e-10	outlier	89.39195630062302	0.0	0.0	outlier	6.860109899484458	147.0	False
Srsf7	65.0858040776992	1.0756950885593142e-12	1.75435110454359e-08	outlier	84.5034550745063	1.1102230246251565e-16	1.977418229157911e-12	outlier	101.31292888181584	0.0	0.0	outlier	6.8185627898742	148.0	False
Txnl4b				outlier	63.64362515585076	2.1415091921994645e-12	3.787258934692155e-08	outlier	98.93782812023738	0.0	0.0	outlier	6.815359157287823	149.0	False
Psmd11				outlier	45.16458638141305	1.3432795764600769e-08	0.00023452254370887087	outlier	118.41962070937049	0.0	0.0	outlier	6.808367643952595	150.0	False
Krtap22-2	108.13928392964768	0.0	0.0	outlier	63.927958983300584	1.8698376180736886e-12	3.3069947566471446e-08	outlier				outlier	6.768023163441237	151.0	False
Scgb1b2				outlier	69.65223850797031	1.2101430968414206e-13	2.1470358801112966e-09	outlier	90.80426383457667	0.0	0.0	outlier	6.735653275739237	152.0	False
Usp14				outlier	65.5982100563549	8.421041641781812e-13	1.4906085699028566e-08	outlier	94.31238712412677	0.0	0.0	outlier	6.699216141937399	153.0	False
Ykt6				outlier	38.627531980339704	2.8221232495351245e-07	0.004881046766225563	outlier	121.15949568056753	0.0	0.0	outlier	6.6166838347193355	154.0	False
Vmn1r124	28.852132349854926	2.4788836503364386e-05	0.32157062081268184	inlier	127.88199259523265	0.0	0.0	outlier				outlier	6.606406487858211	155.0	False
Eno1b	51.62314294264182	6.445372013885731e-10	1.0444670805913902e-05	outlier	48.25680308464494	3.147995308871998e-09	5.5157652649613736e-05	outlier	142.6783354276097	0.0	0.0	outlier	6.536326110861881	156.0	False
Cdipt				outlier	19.71072504075358	0.0014159363730494867	0.9999999999042419	inlier	139.02786961979925	0.0	0.0	outlier	6.514967563063487	157.0	False
Vmn1r42				outlier	70.42519034851789	8.359979375427429e-14	1.483729138450196e-09	outlier	85.0769795081011	1.1102230246251565e-16	1.9816370766514786e-12	outlier	6.512078647528177	158.0	False
Snrnp35				outlier	78.44440392081486	1.7763568394002505e-15	3.158895367455575e-11	outlier	76.53097562619452	4.440892098500626e-15	7.910117005536482e-11	outlier	6.510936830393133	159.0	False
Rbm22				outlier	77.04673611144062	3.4416913763379853e-15	6.117950590391266e-11	outlier	77.61975846584586	2.6645352591003757e-15	4.747402471026457e-11	outlier	6.492875198922503	160.0	False
Bnip3	121.92538714064733	0.0	0.0	outlier	39.738781651230326	1.6858926010776543e-07	0.0029220949689498185	outlier	86.58325419882706	0.0	0.0	outlier	6.483253527694118	161.0	False
Polr2a				outlier	34.3567516059374	2.021654202710721e-06	0.034225636777579185	outlier	122.76453757889894	0.0	0.0	outlier	6.48302376821747	162.0	False
Arih1	124.70307836844538	0.0	0.0	outlier	43.3773729994694	3.098224543585104e-08	0.0005399366924974888	outlier	80.19432682871509	7.771561172376096e-16	1.3852030633547218e-11	outlier	6.482714683029545	163.0	False
Mdm2				outlier	64.15468288731095	1.6779910794184616e-12	2.9680305772318368e-08	outlier	90.542509192122	0.0	0.0	outlier	6.457515266269885	164.0	False
Fancm				outlier	85.75614307395477	0.0	0.0	outlier	67.1322460651285	4.0445424787094453e-13	7.1734005145116855e-09	outlier	6.436676462494715	165.0	False
Rad51				outlier	83.1779676207338	2.220446049250313e-16	3.952616012262671e-12	outlier	69.04391539804462	1.6198153929281034e-13	2.876144207547271e-09	outlier	6.398951382189544	166.0	False
Gtf2e2				outlier	38.508077477384674	2.9826291381152004e-07	0.005156451481044147	outlier	116.25927211021623	0.0	0.0	outlier	6.387586779460337	167.0	False
Wac				outlier	120.16621401845558	0.0	0.0	outlier	29.094440181981447	2.2219060555550563e-05	0.31400428124782276	inlier	6.369466362198655	168.0	False
Snrpb	39.07095748558507	2.2980033131947408e-07	0.0036682228926916477	outlier	83.08226941122692	2.220446049250313e-16	3.952616012262671e-12	outlier	111.45647718232425	0.0	0.0	outlier	6.36810039585109	169.0	False
Eif5a				outlier	86.58974737956781	0.0	0.0	outlier	64.49533828366654	1.426192497433476e-12	2.525929500304631e-08	outlier	6.356873269528282	170.0	False
Zfp935	51.24216956037344	7.714960892357681e-10	1.249815854780631e-05	outlier	108.0208703382428	0.0	0.0	outlier	73.60343279809749	1.8207657603852567e-14	3.2378677511689425e-10	outlier	6.356615754128113	171.0	False
Psmd3	36.43347744598495	7.778358811494357e-07	0.012316783691651064	outlier	104.5617901022055	0.0	0.0	outlier	90.27321474125037	0.0	0.0	outlier	6.3456685866568385	172.0	False
Orc4				outlier	67.1869849413739	3.9401815143946806e-13	6.980425546539821e-09	outlier	84.60913236399878	1.1102230246251565e-16	1.9816370766514786e-12	outlier	6.333953614985116	173.0	False
Vmn2r75	117.78974276578278	0.0	0.0	outlier				outlier	49.41425524594666	1.8260737366659896e-09	3.203247246723969e-05	outlier	6.327871203459953	174.0	False
Nepro	136.75943210187086	0.0	0.0	outlier	64.22956708056877	1.6190382368108658e-12	2.8639166960869638e-08	outlier	40.56609586034436	1.148029135089601e-07	0.001991337752548411	outlier	6.282232694282729	175.0	False
