Sample	T1	T2	T3	Overall	Overall	Overall
Slc22a28	101.71257389961751		170.44039629373228	11.212090886718693	35.0	False
Tonsl		160.02982079938914	92.76336881490221	11.21154491561321	36.0	False
Exosc2	229.91900654853188	118.11987280756121	60.972491006907504	11.202287139568808	37.0	False
Prpf19		111.97765147130134	143.262486916809	11.195615991293359	38.0	False
Sult2a2		100.3636430310578	151.97439527346083	11.031984186520873	39.0	False
Top3a		127.20997588569041	122.68780886794075	10.991800575297669	40.0	False
Sf3b6		90.62744778930494	159.90928512512903	10.92369504245732	41.0	False
Orc6		121.25954055566426	127.26090571998176	10.912974391668746	42.0	False
Med8		108.86157499765085	139.98285562845226	10.894807204253006	43.0	False
Napa		140.9794988858852	105.53404406868776	10.873650847402875	44.0	False
Aurkb		96.79354393350886	151.8944564004585	10.855545251424855	45.0	False
Cdr1		116.00825649404885	131.3191845360846	10.84443910876788	46.0	False
Hspa9		113.64906532471636	131.0897750580888	10.719768438212462	47.0	False
Rnf168	111.79146552872956	142.67714013496007	122.70200819478808	10.638268299277739	48.0	False
Serf1		136.5433523964201	104.34000270621377	10.604342306509984	49.0	False
Vmn2r55		58.71024345483532	185.94053562099896	10.569574453003154	50.0	False
Cops5		114.95986340276276	125.08949955841557	10.508774774956326	51.0	False
Ddb1		131.60112933514515	105.78404827622616	10.431198387770726	52.0	False
Rpl8		117.42201503498053	119.10786199488618	10.354355836164938	53.0	False
Nmd3		120.47325351425144	113.60921091458586	10.25053724414887	54.0	False
Tardbp		79.80459503111817	156.3899651686181	10.238937306767124	55.0	False
Rps10		28.266626886441433	210.18043746615743	10.204841062576058	56.0	False
Noc4l		47.77150626968014	189.34382052425687	10.195825127941045	57.0	False
Banf1		47.02059888534985	186.85505085491826	10.04565527719875	58.0	False
Fanci	157.94129940620994	137.1988148235115	67.20607411165717	10.034611009778002	59.0	False
Actr10		32.725009009262294	200.21605289384408	9.964876503863504	60.0	False
Ube2t	91.67372987725832	178.94763807600702	71.5674394684597	9.6978357886026	61.0	False
Snapc1		102.89614279934369	118.15324701640112	9.607683393710472	62.0	False
Rps5		75.25021807085795	147.05775666989055	9.591694079490463	63.0	False
Rsl24d1		166.01246644102758	50.35809540575869	9.561612222744929	64.0	False
Ddx49		107.64978368102577	110.45041483225974	9.485444406687158	65.0	False
Srp72		74.00988616172393	146.0084865103587	9.483675366212678	66.0	False
Atp6v0c		102.55468971620394	113.96729051651808	9.399706310770714	67.0	False
Rrm1		95.35860417762957	120.96614806661762	9.37154036179532	68.0	False
Wdr82		41.36413782636722	178.0050177862106	9.3671273646461	69.0	False
Srp54c		120.82926797027623	92.54172559361561	9.304210727975406	70.0	False
Defa40	53.83165129613079		170.88885430730224	9.263564326369856	71.0	False
Rpl7l1	56.654275698572306	175.38207311038946	90.69404229152185	9.205900150345453	72.0	False
Mzt1		147.5491340883809	61.033808672910176	9.156310220716426	73.0	False
Srsf10		47.04957000908657	166.8468989228533	9.131951161089315	74.0	False
Xrn2		98.95782540365323	111.69579369439381	9.121737452060657	75.0	False
Skp1		124.29577760223036	84.45832429608103	9.102272229577327	76.0	False
Mtrex		48.495248939246665	164.28889003628538	9.084923164601683	77.0	False
Ftsj3		101.54687904797144	106.7389981604443	9.020333076689939	78.0	False
Atad3a	170.70591959961334	87.62130192867684	74.77217886859857	9.015653166501851	79.0	False
Rpl35a		52.786056410845404	156.8460534815392	8.952175671064495	80.0	False
Scgb1b24	39.266806530749946	106.60991091178393	170.6933282452085	8.949556796712299	81.0	False
H3c6		156.56440403442113	45.32547672622228	8.874177245648418	82.0	False
Dhx37		110.81764705363823	91.13560272345904	8.755364938603792	83.0	False
Lce1a2	107.23234848272708	136.16659277254124	71.84147332858359	8.752420829087422	84.0	False
Fau		87.43715688915593	115.12803251054373	8.721148536071862	85.0	False
Psmc4		55.40215077145488	147.74100546663868	8.662352736838972	86.0	False
Pfdn6		92.31061079936191	108.67076372089083	8.661676085693841	87.0	False
Polr1a		88.23705497327921	111.9480949035613	8.614421606828106	88.0	False
Gtf2a1	39.36699818764127	148.43223338756047	114.69894085742393	8.59436127242641	89.0	False
Wdr75	126.82597377740004	124.12407932331055	60.01914637785642	8.540569688558149	90.0	False
Thoc2		73.23688123796853	125.18806868042603	8.494007518437428	91.0	False
Dpagt1		43.407862700866154	156.28849587098034	8.472796533450332	92.0	False
Gins4		132.49622741654497	60.752793316743926	8.414938991131358	93.0	False
Wdr73		93.97554460121215	101.20963839608305	8.401007193597561	94.0	False
Tinf2		91.34872990824519	103.78824313126708	8.391813512792751	95.0	False
Imp3		67.02277520727075	128.23662023526126	8.33269278659224	96.0	False
Ddx27		100.2597719338541	92.55497309066676	8.309310626834325	97.0	False
Pop5		75.09843989719947	117.26658208056578	8.221799327129695	98.0	False
Gtf3c6		78.26728146634183	113.87448962780283	8.220019371553647	99.0	False
Dkc1		87.65935042135243	103.50536969056604	8.200320189625536	100.0	False
Polr2j		130.28355689332525	58.187068202744655	8.190504212784717	101.0	False
Gm10100		140.8726389500332	46.366486634227826	8.162352091114712	102.0	False
Uqcrb		83.10869324168364	107.189750231297	8.148592423566196	103.0	False
Snapc4		62.851525098224954	128.56349492083308	8.14576612361225	104.0	False
Ddx55		91.00045104640257	97.30928603221629	8.078631870125475	105.0	False
Uba2		125.3144025087944	60.84957925895159	8.071785446980456	106.0	False
Rps21	48.23039335061932	110.56864677242014	127.96962415492709	8.020334828046787	107.0	False
Cdc37		128.29703425339062	53.891505288947805	7.897897338416895	108.0	False
Faap100		86.30791489732997	98.18787142149037	7.891709833071879	109.0	False
Rangap1	107.10562739827303	116.4862296775912	63.7062310152183	7.8659111117477485	110.0	False
Prelid3b		150.71402611232284	28.667501936134812	7.829155048049897	111.0	False
Sem1		124.70053792909546	55.87652544984586	7.814625200873565	112.0	False
Nbn		85.71005939664369	95.4700478741826	7.738471103260224	113.0	False
Pin4	83.6947737795641	57.66226751513795	142.48355306553722	7.728149759428913	114.0	False
Nhp2		73.39204017102078	107.75780237209415	7.704314442317571	115.0	False
Rpl7		91.59480451762654	88.29015325774121	7.694891816282645	116.0	False
Ints13		13.329980794853824	170.95503325827215	7.687909867671396	117.0	False
Fancc		84.14190588964534	95.8626945579905	7.680535217282133	118.0	False
Zbtb11	176.7573446269168	50.73617393095982	64.32968352992192	7.673062992665126	119.0	False
Ints3	64.57510004428975	109.09267195130427	102.99674814226493	7.659364498230584	120.0	False
Ddx47		103.61965694713368	73.90211266574708	7.6187999339094485	121.0	False
Cept1		95.24999587979792	80.44260868163978	7.512872286149211	122.0	False
Eif3g		53.58345320920387	124.33493721175834	7.5038172545232795	123.0	False
Fancl	136.38158693404782	60.11096121999868	84.88256698672642	7.495286999142532	124.0	False
Vmn1r27		84.91418384664814	90.97495224952304	7.494362251603058	125.0	False
Sap18b		33.1303241073411	145.46320820595488	7.480279843688347	126.0	False
Gpn2		85.8918333660277	89.53058434868802	7.475617172472727	127.0	False
Eif3i		84.25006526231518	91.19888656461568	7.472462781987658	128.0	False
Snrpd2	59.662073909014126	77.12418074862772	135.0531760062883	7.47064938402562	129.0	False
Wdr36		65.64320364960854	110.57196822699477	7.458003031810013	130.0	False
Ppp1r7	56.31751957740537	134.81500523503215	74.78698349647307	7.402755486257047	131.0	False
Bysl	94.68420327991888		91.55692034120914	7.315191256891216	132.0	False
Rpl14		76.59375788738522	95.28681626512126	7.288887239370421	133.0	False
Xlr5c		75.91209130148376	95.58763077224047	7.269654739580732	134.0	False
Ccdc137	78.84764135210749	111.53170057976199	74.56675254759432	7.262489564657469	135.0	False
H3c8		85.5091284650222	84.4528713668183	7.224857645365592	136.0	False
Psmc6		32.1422507194315	139.9097375015477	7.178462603478893	137.0	False
Polr1c		127.20861654912419	36.71388997955687	7.059574051337074	138.0	False
Fnta		100.87693266728954	64.48014233531265	7.055130215071607	139.0	False
Tbl3	74.8268619941511	49.92010438488012	133.94922506215957	6.975008751797703	140.0	False
Ssu72		75.42589127256474	89.55818030054053	6.970357034882289	141.0	False
Dync1i2	99.65558843405157		78.81969456112105	6.937074391291279	142.0	False
Aurka		114.4524013910986	47.342382515114785	6.928320818144499	143.0	False
Abcf1	19.340532476046377	122.46423712506109	105.49387217097076	6.9267955916416	144.0	False
AA792892		73.55522040414519	89.98754025581412	6.899459298668564	145.0	False
Polr3a		72.00526464655576	91.54938102410182	6.895879176517193	146.0	False
Gabpb1		55.06319023999398	109.34086392443649	6.889653404147925	147.0	False
Ddx52		73.55157061110432	89.4108406871732	6.872906341187954	148.0	False
Pold2		104.3622819587905	56.76255706182483	6.870834710113359	149.0	False
Srsf7	65.0858040776992	84.5034550745063	101.33275682869665	6.829262736031494	150.0	False
Txnl4b		63.64362515585076	98.93187723160909	6.828850035298079	151.0	False
Krtap22-2	108.13928392964768	63.927958983300584		6.769180029123046	152.0	False
Scgb1b2		69.65223850797031	90.69756762077078	6.743040193394776	153.0	False
Usp14		65.5982100563549	94.27515096368535	6.710463318658173	154.0	False
Psmd11		45.16458638141305	115.61698160591915	6.697637422951427	155.0	False
Ykt6		38.627531980339704	121.06078004617409	6.630243510271201	156.0	False
Vmn1r124	28.852132349854926	127.88199259523265		6.603800332838825	157.0	False
Eno1b	51.62314294264182	48.25680308464494	142.69110995325448	6.551744970705435	158.0	False
Cdipt		19.71072504075358	138.92863344394752	6.531939146314569	159.0	False
Vmn1r42		70.42519034851789	85.07149781093092	6.52313120068939	160.0	False
Snrnp35		78.44440392081486	76.49860348797404	6.519143041031882	161.0	False
Rbm22		77.04673611144062	77.62046312429864	6.502809957317425	162.0	False
Polr2a		34.3567516059374	122.63039568361651	6.495338693718986	163.0	False
Bnip3	121.92538714064733	39.738781651230326	86.55019863994818	6.4925030096855645	164.0	False
Arih1	124.70307836844538	43.3773729994694	80.03291600932073	6.487334732601531	165.0	False
Mdm2		64.15468288731095	90.40865096423319	6.463759813089028	166.0	False
Fancm		85.75614307395477	67.05992759213333	6.441317135086733	167.0	False
Gtf2e2		38.508077477384674	116.35983008139635	6.409456450812608	168.0	False
Rad51		83.1779676207338	69.01425856230657	6.405925254229835	169.0	False
Snrpb	39.07095748558507	83.08226941122692	111.28609890086001	6.373680258700648	170.0	False
Wac		120.16621401845558	29.11216177922349	6.3710637607917455	171.0	False
Eif5a		86.58974737956781	64.48959480711363	6.364102786983517	172.0	False
Zfp935	51.24216956037344	108.0208703382428	73.58110451193188	6.362334946316498	173.0	False
Psmd3	36.43347744598495	104.5617901022055	90.33315008613997	6.355525443941777	174.0	False
Orc4		67.1869849413739	84.58918803333871	6.34435188546502	175.0	False
Vmn2r75	117.78974276578278		49.439016487727535	6.339042346542865	176.0	False
Nepro	136.75943210187086	64.22956708056877	40.53135887912481	6.286214196615205	177.0	False
Heatr1	50.579242108587124	123.40082345672032	54.71885863253604	6.26526051867048	178.0	False
Rfc5		35.07443984528551	115.86315117094698	6.220561566978812	179.0	False
Med4		54.668598014888126	93.19782904347099	6.132227590398784	180.0	False
Mrpl45		47.86797019463808	99.89497869775117	6.1094015730063465	181.0	False
Wdr55		27.838495603381784	120.53936397226124	6.084236532560645	182.0	False
Vmn1r128	41.86021413687836	105.39568012504436		6.05046538285262	183.0	False
Trappc6b		110.16052746774402	32.666224630991515	6.049367554405146	184.0	False
Gm5169		93.14891262859625	50.64594085904493	6.048385385413194	185.0	False
Mettl16	60.850507149013666	66.32313001985648	98.60222293644571	6.043307308564664	186.0	False
Vps28		78.2495528934245	66.30004787509806	6.043264826980621	187.0	False
Gm14391	85.08300929887072	57.300062763900925	86.21665397044622	6.038882433928149	188.0	False
Triap1	58.514982669958016	73.39102525250554	92.95823487622475	6.03522988307386	189.0	False
Mbtps1	88.00673243469275	93.24594376829663	44.910699459102275	6.019360623123934	190.0	False
Rps19	89.6813022497363	69.42017144952385	67.80819931615389	5.994706713718192	191.0	False
Nol10		78.69529973022561	64.06691725288908	5.962701767651863	192.0	False
Cdc73	103.52813089745295	58.5417169889104	65.65323228188777	5.957629493688548	193.0	False
Rbbp5		35.5462536772136	109.2463207635184	5.940764247817663	194.0	False
Iars	57.164458071153945	89.89361026354703		5.929574745536373	195.0	False
Anapc11		46.53555795150542	97.2823490838524	5.925423574384521	196.0	False
Sae1		48.98668477744936	93.86480547533266	5.887744184292682	197.0	False
Tut1		46.77392659777273	95.9437686747053	5.875737739130022	198.0	False
Fancb		69.27255258903963	71.83224263886025	5.861827319786675	199.0	False
Tomm7		115.29607837650097	22.869462284760992	5.849842550729623	200.0	False
Mrpl12		50.559555055525614	91.19511393416266	5.841763900118192	201.0	False
Fanca	59.330273534716525	96.63685213945267	61.26964742873012	5.841383335655924	202.0	False
Prl2c2	53.626923183331094	72.35921150248826	91.10824397073026	5.8115204910861245	203.0	False
Snap23	28.119184712530508	62.218923305205124	124.41971991033776	5.80073617458189	204.0	False
Poll	60.58076082862046	46.342917501474716	111.93855900856524	5.797894191247082	205.0	False
Ppp2ca		70.86714664356091	67.75372779276466	5.752463519305845	206.0	False
Cnot10		39.56553583263821	100.78668126419217	5.748370508976414	207.0	False
Ss18l2	39.550756806308776	62.932443777913555	111.45887185841548	5.741972275984452	208.0	False
Polq		106.02206958696985	29.416239253775828	5.700434275972446	209.0	False
Telo2	28.452509506843814	68.7087323143396	113.72509689436173	5.693175951453256	210.0	False
Wdr61	76.38603768828337	63.987651944537475	75.37244907387351	5.685570227519506	211.0	False
Cyp2c68		80.1442219013451	56.288066134517344	5.6770467979357875	212.0	False
Cpsf3		42.23797923131832	96.30040967987803	5.672522162657534	213.0	False
Nlrp4c	70.77083714880204		77.02885510923156	5.667321418846283	214.0	False
Nop58		46.13070788323069	91.21296472907254	5.62823653711543	215.0	False
Vcp		89.27873899701707	45.517014554101735	5.626499812532876	216.0	False
Ube2d2a	180.45618684855233	39.004416730728856	6.2062919334506805	5.623699843809015	217.0	False
Mars1		77.81456440968451	57.54565962923031	5.62181603855222	218.0	False
Rbx1		62.23399322778429	73.80421273811716	5.611372105354681	219.0	False
Hmgb3	87.89272437173862	77.3468889452238	47.92676695569257	5.5952184454658855	220.0	False
Pirb		68.22421405867807	66.95642944293719	5.588087213145538	221.0	False
Polr2e	60.161645177330016	82.34533367540915	66.19532965150933	5.553252574339666	222.0	False
Filip1l		89.61608822699634	43.532034891188815	5.552040211106846	223.0	False
Prim1	27.59954068978857	68.91470128137163	109.15401355904629	5.537059294621976	224.0	False
Smc4	22.02214299973	116.08960167605284	63.60869307402755	5.517511900876976	225.0	False
Suds3	99.21802843566171	76.1310722762122	35.71923012663875	5.49426075023383	226.0	False
Ddx19a	82.31342176322467	51.55949402837707	76.64245033030218	5.485805671973362	227.0	False
Psmg4		45.435473963538875	88.76629955092366	5.482686845341349	228.0	False
Atp5a1	87.08601479529693	46.79086473025518	76.51800838242303	5.458996676391389	229.0	False
Nat10		87.83667679826709	43.09407472421403	5.445890842172037	230.0	False
Vmn2r62		55.414558640909	77.33558175863337	5.442843629762914	231.0	False
Fancd2		73.88350429329638	57.71454636581463	5.439288055849276	232.0	False
Cpsf1		51.12374426636833	81.72486987353625	5.435931652638178	233.0	False
Gps1		71.04155218194671	60.50783164580111	5.42950109972802	234.0	False
Vmn1r55	27.26340122448976	98.62667656947691	74.48630356315189	5.429437633028684	235.0	False
Nploc4		82.23387605584865	48.66129482991946	5.429357085885679	236.0	False
Polr1f		46.1359483199593	86.14273660170646	5.3965948101238626	237.0	False
Vmn2r78	49.44199979599344	54.10268776533995	100.09667577647036	5.381811866471274	238.0	False
Lce1l	26.065997530356466	67.93243357166607	106.34452292663583	5.377658882038717	239.0	False
Ccl21a	71.04138750636703	78.41070870539492	54.78178409998647	5.376567340545801	240.0	False
Pomp	130.13703805153452	59.25846857510088	21.60433710353496	5.367158797797828	241.0	False
Rfwd3	30.039829099520684	90.89980145692927	77.44237588229295	5.346383361699176	242.0	False
Dnajc17	49.483031642914185		89.10661666192671	5.34428608823257	243.0	False
Gng5	67.56337532953712	59.19783767532966	75.86241837160662	5.3040875814238575	244.0	False
Chmp4b		55.885164260498314	73.68115737799289	5.298478422640648	245.0	False
Prl2c3	69.96265028710458	47.81825164013161	85.3631268975988	5.292392635503849	246.0	False
Atm	108.53088459873912	55.476145074104714	42.339791594494045	5.285020946939542	247.0	False
Crcp	45.20089279701114	91.76089108220941	60.85584885234468	5.284076595973185	248.0	False
Mcm6		66.98825951097598	61.4477184291248	5.276320378249753	249.0	False
Psmd6		56.47507785101097	72.53215909586426	5.274477233222926	250.0	False
Gnl2		44.04711945326961	85.56851097170951	5.269238175320331	251.0	False
Pold1	46.68842736563092		89.45073533554422	5.245100646909324	252.0	False
Slu7	131.82266150847505	37.42013921857141	38.99467713719925	5.239012947570478	253.0	False
Rpl35		54.63408252904903	73.05482745072992	5.209283325800746	254.0	False
Mtbp		61.97466657680957	65.23516331196136	5.20690163803229	255.0	False
Wdr33		67.5073704908687	59.21230789636522	5.199203662453909	256.0	False
Rbbp4		68.33108042697403	57.89033749717634	5.178606392755765	257.0	False
Il15	80.29295320630081	45.255859677271225	75.0199652137471	5.177556123377099	258.0	False
Otub1	45.92070166930924	65.15602794009574	84.67561778183317	5.1717013960361875	259.0	False
Psma7	18.884318411496988	48.63476787609441	125.75624548113288	5.150017434826089	260.0	False
Polr1d		51.05083375236955	74.6830347782793	5.110332901734773	261.0	False
Krr1		65.21870126114945	59.38030929410734	5.0961223062406695	262.0	False
Gm3404	59.00221223397445	53.704566521191936	82.41199830015775	5.09184151350223	263.0	False
Oas1g	76.29535837371031		59.428291108721844	5.0895186244674715	264.0	False
Atp6v1b2	83.1037693421343	55.694367634593775	58.0490243773936	5.073950261161563	265.0	False
Yeats4		79.01088658098621	43.68238891486228	5.045654846599263	266.0	False
Gins2	36.400912243276395	81.41246185970205	71.8727490785969	5.044846034138314	267.0	False
Bard1		60.50453722977948	63.10199293289357	5.03818738598229	268.0	False
Prmt5		76.66120850494156	45.37245492960789	5.009234999832285	269.0	False
Cops6		35.34346201278388	88.76191016461446	4.994060976513522	270.0	False
Lifr	54.72911728609215	49.83718236381178	87.08706374468528	4.9924589602649405	271.0	False
Fancg	39.06960373316703	85.69793684392359	62.867944114073126	4.981713692639905	272.0	False
Esf1		103.01862512471823	16.74619253951569	4.9755902336146205	273.0	False
Hnrnpk	29.16639424912924	54.88776324673296	103.90642648375021	4.967434655087781	274.0	False
H2al1o	41.50908649430711		87.60081373866896	4.947498075437743	275.0	False
Gemin6	109.63754528733472	53.17063245689435	32.352627532457696	4.936454234380965	276.0	False
Aldoa		58.92507446847515	61.89835755593031	4.906695538318656	277.0	False
Odc1	65.86758057729374	32.966640864869326	92.0441337541826	4.904650296092038	278.0	False
Nop10		36.88591771082976	84.84633813476938	4.889626287383384	279.0	False
Serpinb3b		91.48134183764752	26.32120896068912	4.855147399876734	280.0	False
Mettl7a1	27.045422596527132	107.00033965833082	46.34393916928357	4.835544126994935	281.0	False
Kpna2	59.10180606979715	64.84208151363251	62.02268706960611	4.83222884553295	282.0	False
Dctn5	84.75657201508314	39.265604830994945	65.90054660544021	4.828594011205106	283.0	False
Taf13	47.36016495770964	102.37598160276376	32.60519997647932	4.824374709740026	284.0	False
Rcl1	135.5264108728939	20.177492512717766	40.05152254461164	4.816447890862201	285.0	False
Vars		67.55581017062109	50.64005006949399	4.809481481989094	286.0	False
Rbm25	77.94265926864466	47.55219559560087	61.61328464794503	4.778427241828449	287.0	False
Kif18b		29.111934115462656	90.50688983186593	4.772282038192173	288.0	False
Semp2l2a		72.9711533183463	44.01084443746793	4.768371134416094	289.0	False
Slc25a5		67.3491300766425	49.64897729532349	4.754150376128928	290.0	False
Rngtt	75.18341961166216	66.82134713368605	42.74509785957052	4.7491838924937975	291.0	False
Tex10		95.41001245972662	19.72667847226612	4.743672191496217	292.0	False
Rtf2		68.4032887212707	47.60388615505388	4.711633043958308	293.0	False
Dcaf13		39.82800281719847	77.76694795344214	4.708227235598384	294.0	False
Cyp3a41b		55.115076077637106	61.12825788724356	4.687080492941319	295.0	False
Helq	41.45811737200871	71.31985769448121	66.12935331867604	4.682734756240779	296.0	False
Gapdh	20.847838635866086	96.19109914464788	57.9892457561257	4.67195306070979	297.0	False
Las1l	41.01536006710308	47.413314678034936	91.43086503107801	4.670727670333296	298.0	False
Srsf1		34.240743049317246	81.8353197097516	4.623893286981247	299.0	False
Rpl4		26.394686473105264	90.11853443812977	4.623012780322225	300.0	False
Smu1		42.56845780903101	72.83574042885552	4.61532057173952	301.0	False
Cldn24	38.04553324147697	35.174057939667	104.80275784990862	4.60213435553159	302.0	False
Uxt		39.46031778205561	75.56767234998827	4.589844767723302	303.0	False
Ruvbl2	103.5395156594113	25.679795376091505	54.85405505723065	4.568379369258344	304.0	False
Zbtb8os	30.48807442699055	82.28678689541248	60.632216083354095	4.568214673622016	305.0	False
Pak1ip1		72.09630231353	40.244078616658484	4.553751471651019	306.0	False
Lce1d		43.25960956463332	70.64301169986223	4.548482271203207	307.0	False
Psmg3	77.74097437913166	19.232633388654076	83.99382582025181	4.541580515847081	308.0	False
Hpcal1		69.19672893153908	42.555213393058956	4.519123849059716	309.0	False
Pfdn2	51.52386073016187	83.70282478556568	38.5984685495221	4.518781347031885	310.0	False
D8Ertd738e		69.44590333647592	42.25204332067251	4.517317202895259	311.0	False
Cdc7	85.25175448538467		38.80072055288144	4.514401797671194	312.0	False
Polr3b	69.01559977201465	51.91861043182902	56.30385470632248	4.512676226825105	313.0	False
Ppan		28.967576580235914	84.7598531531584	4.502445219147768	314.0	False
Thap1	94.51304983258701	34.840041944366924	50.84057798795364	4.494090119833799	315.0	False
Vmn2r113	56.199503656241745	63.2807214897506	54.43650895372852	4.470972047183202	316.0	False
Phb2		48.0502295171863	63.84906236562804	4.469602242393455	317.0	False
Prmt1		54.19116444540655	57.315117532787504	4.4679654164868845	318.0	False
Ankrd49		45.330897438777	66.61768245315074	4.464621648672632	319.0	False
Nip7		26.62151969135114	86.23237806194045	4.456251021975241	320.0	False
Wdr43		68.90770095158335	41.48496273111545	4.456186003251433	321.0	False
Alg2	45.55305121681616	48.887556896016214	78.34421686538266	4.4436715629758945	322.0	False
Cenpq	49.433365527466115	56.1506483133726	66.53644971898865	4.4243635371328915	323.0	False
Rpl36al		31.101728177817122	80.72756740371237	4.421308857495907	324.0	False
Chmp6	25.05411256227197	39.51339345927694	105.85760871141521	4.4181361035684805	325.0	False
Vmn1r9		45.43276579830968	65.2471356623291	4.406867546005429	326.0	False
Cox5b	79.69529090730782	25.834120774426367	70.19553866239912	4.387430112398564	327.0	False
Zbed4		87.12143192697334	20.685422533695675	4.386377868716578	328.0	False
Nop56	54.23380256530355	80.79046637851681	34.751485558420626	4.38181099737951	329.0	False
Imp4	53.64137428897686	72.25033519276157	43.485891855689864	4.356345278959079	330.0	False
Ubtf	33.73020569580502	88.36981597866809	44.26133361427125	4.354201436922778	331.0	False
Rad51d		58.99900253453983	49.45493727117078	4.341152845453454	332.0	False
Cd300ld4	24.03905048208431	131.62167396601234	6.570071944926409	4.3347750902592805	333.0	False
Cyp3a11		83.56106676678155	23.266362004172827	4.332109742984221	334.0	False
Tnp1		58.34661666206669	49.7958418036202	4.325171034433933	335.0	False
Tprkb		23.33494967649931	86.34227114290991	4.302216381767361	336.0	False
Srpr		8.036026832370823	102.40995185431332	4.296673571473719	337.0	False
Zpr1	78.31432580174565	52.89449824021568	39.70131563432281	4.2928647574081	338.0	False
Osgep		68.6660777363752	38.14505090458011	4.291735672142339	339.0	False
Magoh		72.22485868187964	34.3651942879015	4.291092648739534	340.0	False
Gm20604	60.12092866732779	23.990261859340816	86.4710740876882	4.287551627863857	341.0	False
Eif3d		5.226191893418065	104.98564657081796	4.278489128799234	342.0	False
Sin3a	10.828044685245786	83.51406030710258	67.45116948054584	4.276735305632902	343.0	False
Fam32a	45.28365638878608	39.16114496815505	83.34483017159839	4.274939435833485	344.0	False
Nubp2		39.0845150029636	68.82463579701766	4.263252929776149	345.0	False
Tmem181a	42.79138762981088		71.37318585728619	4.258033300659944	346.0	False
Mms22l		35.724368634536134	72.19920895618418	4.2549729947237775	347.0	False
Cars	54.98884193383052	69.54132562100604	41.51273715644376	4.245717789260797	348.0	False
Vmn2r93	50.58010665628738	52.37502032788961	63.47883781331153	4.2407524415978415	349.0	False
Mat2a		57.31880766962443	48.83856951969587	4.231645511549159	350.0	False
Lsm2		38.42893920117225	68.81448218358658	4.231060504628418	351.0	False
Gm11563	55.289243057210214	53.620879068027484	57.534493945279436	4.228804696939194	352.0	False
Eif2b4	57.36200195782049	66.45851312216027	41.98815703008301	4.22580951947742	353.0	False
Klrc3	13.706221703200104	66.762690866674	80.80794388494436	4.222426048418488	354.0	False
Orc5	69.48083362065806	29.54326553939096	70.01788372967488	4.221650959225732	355.0	False
Timm13	80.58986769203561	54.25060085115729	33.71936202126786	4.216608412847193	356.0	False
Vmn2r110	35.03651311297018	83.45167435202416	43.56035366439939	4.2099583299455325	357.0	False
Atp6v1a		66.48667142406407	38.56673175356992	4.205544788396056	358.0	False
Ecd	46.18983661051424	54.083382398814045	64.15659301424881	4.196175339460116	359.0	False
