Sample	T1	T2	T3	Overall	Overall	Overall
Measure	Score	Score	Score	Combined score	Rank	Pseudo-control
Gene						
Atp6v1g1		191.69190928544398	1639.034598855945	83.46519792231366	1.0	False
H2ac18		79.20916856736312	417.40077923064746	22.14788573923378	2.0	False
Metap2		143.0072996911986	338.36509828532996	21.620707762742597	3.0	False
Xrcc5		130.08800685405592	319.6054927963598	20.13744829250321	4.0	False
H2ax	253.22516479921546	259.0348269851858	177.47208166296684	19.94003803075752	5.0	False
Qars		190.62137507205918	246.44000717188396	19.720748120046984	6.0	False
Mad2l2		247.76414136850457	179.7620479545264	19.436670163735446	7.0	False
Atp2a2		113.27976066521813	319.45872946448947	19.317263787113664	8.0	False
Xrcc6	93.0376738562009	211.2281717342271	329.085126008886	18.628755213374323	9.0	False
Krtap4-8		139.09149567540646	256.1244454018279	17.6697802341829	10.0	False
Cfap298		150.5990063511904	238.93048604483732	17.44031707997124	11.0	False
Rpa3		72.0348375444191	297.94563035824916	16.33718751674161	12.0	False
Pcna		164.22594935568236	193.43328480357934	16.018932487304646	13.0	False
Zfp959	475.9638983483317	94.20215167679424	19.254735886540484	15.904072588198964	14.0	False
Dbr1	149.64334930277963	198.34026724709543	197.74676594277497	15.760164144910446	15.0	False
Aars		155.3758523766632	180.35592282948468	14.992497594794251	16.0	False
Ppp4c		222.8115488283589	98.73934285003519	14.523325865353698	17.0	False
Cinp		100.2840194182638	221.21377391003838	14.19490922152257	18.0	False
Mre11a	107.88966904363201	194.9310840824097	182.52283115359535	14.041264105239653	19.0	False
Sdad1	198.39773423612525	175.30992453755306	107.91791440769752	13.614751398292372	20.0	False
Anapc1		58.88635422004183	249.6270565132947	13.49090709478891	21.0	False
Krtap4-13		98.69297279147364	202.55292397481313	13.264421890092088	22.0	False
Rad50		206.13670392962405	87.7447775022477	13.21345527039064	23.0	False
Eif1ad		172.76861564703444	122.57927613096014	13.191747214090716	24.0	False
Polr2g		154.68640672855	124.46630266196348	12.4029252559876	25.0	False
Nedd8	79.64967673440808	122.87920525370629	227.60993255471382	12.317059855561146	26.0	False
Spout1		168.32373597355632	105.1835245156353	12.1810037402247	27.0	False
Utp6		113.6883654977996	162.1202133223368	12.140899363812778	28.0	False
Rnf8	180.46264366296114	132.63475385551112	119.96441758315709	12.113452798173803	29.0	False
Psma1		112.58027526818321	161.24315488364186	12.047157168047987	30.0	False
Psma4		111.3021163561211	154.07950099229097	11.657656184266298	31.0	False
Nanog		159.17357156114764	99.02395335136652	11.456443138075175	32.0	False
Ubl5		69.91641974436325	189.61660063533708	11.28005297095137	33.0	False
Nuf2		183.47373945810372	68.4900258616033	11.235983046903334	34.0	False
